shadow_date,version,shadow_rank,ticker,shadow_score,shadow_factor_count,shadow_factor_ids,official_decision_impact,shadow_only,F002
2026-05-15,V18.3A,1,AEHR,4.986055557183363,1,F002,NONE,YES,4.986055557183363
2026-05-15,V18.3A,2,SOXL,3.087403782720676,1,F002,NONE,YES,3.087403782720676
2026-05-15,V18.3A,3,INTC,2.514504028168824,1,F002,NONE,YES,2.514504028168824
2026-05-15,V18.3A,4,MRVL,1.9816556535558347,1,F002,NONE,YES,1.9816556535558347
2026-05-15,V18.3A,5,SNDK,1.9668831454790927,1,F002,NONE,YES,1.9668831454790927
2026-05-15,V18.3A,6,AMD,1.8431457807294107,1,F002,NONE,YES,1.8431457807294107
2026-05-15,V18.3A,7,FLEX,1.698142245956223,1,F002,NONE,YES,1.698142245956223
2026-05-15,V18.3A,8,DELL,1.5819728706280425,1,F002,NONE,YES,1.5819728706280425
2026-05-15,V18.3A,9,VECO,1.36127963318391,1,F002,NONE,YES,1.36127963318391
2026-05-15,V18.3A,10,ACLS,1.2312332794046046,1,F002,NONE,YES,1.2312332794046046
2026-05-15,V18.3A,11,BE,1.138730244403968,1,F002,NONE,YES,1.138730244403968
2026-05-15,V18.3A,12,CIEN,1.079281442367268,1,F002,NONE,YES,1.079281442367268
2026-05-15,V18.3A,13,STX,1.0755215605448445,1,F002,NONE,YES,1.0755215605448445
2026-05-15,V18.3A,14,IRDM,1.0605814248909473,1,F002,NONE,YES,1.0605814248909473
2026-05-15,V18.3A,15,MU,0.9504356008242812,1,F002,NONE,YES,0.9504356008242812
2026-05-15,V18.3A,16,COHR,0.8715761387309494,1,F002,NONE,YES,0.8715761387309494
2026-05-15,V18.3A,17,ARM,0.843133141612515,1,F002,NONE,YES,0.843133141612515
2026-05-15,V18.3A,18,ALAB,0.7736731988656976,1,F002,NONE,YES,0.7736731988656976
2026-05-15,V18.3A,19,LITE,0.5993896429973935,1,F002,NONE,YES,0.5993896429973935
