category,status,relative_source_path,relative_snapshot_path,source_path,snapshot_path,size_bytes,modified_time,sha256,error
CRITICAL_V18_23A,COPIED,scripts/v18/v18_23A_rolling_research_coverage_controller.py,scripts/v18/v18_23A_rolling_research_coverage_controller.py,D:\us-tech-quant\scripts\v18\v18_23A_rolling_research_coverage_controller.py,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\scripts\v18\v18_23A_rolling_research_coverage_controller.py,27761,2026-05-21T13:46:48,f59c89299afc2b06f61a7321aab2474139cc285b8405d5696bdff449d5d5b992,
CRITICAL_V18_23A,COPIED,scripts/v18/run_v18_23A_rolling_research_coverage_controller.ps1,scripts/v18/run_v18_23A_rolling_research_coverage_controller.ps1,D:\us-tech-quant\scripts\v18\run_v18_23A_rolling_research_coverage_controller.ps1,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\scripts\v18\run_v18_23A_rolling_research_coverage_controller.ps1,1870,2026-05-21T13:46:48,68c0ba5a6ae5a5f0bb838f92914270843f5961180bda231eba81f8c2f7350b2a,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER.md,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER.md,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER.md,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER.md,5497,2026-05-21T13:48:34,efd10e65dc49ab3e353ba06733f88e0a19afea6793411bd643128e7df111ee93,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,outputs/v18/rolling_coverage/V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_CURRENT_ROLLING_COVERAGE_PLAN.csv,33568,2026-05-21T13:48:33,63762e984683878efd18cf922b15e9e9200b6f4633d8e1747e42155a73f1898d,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_CURRENT_TODAY_PLANNED_SCAN_LIST.csv,outputs/v18/rolling_coverage/V18_23A_CURRENT_TODAY_PLANNED_SCAN_LIST.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_CURRENT_TODAY_PLANNED_SCAN_LIST.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_CURRENT_TODAY_PLANNED_SCAN_LIST.csv,6820,2026-05-21T13:48:33,5cab3d59cb0ffeb33d3f579511a3a95158c73c1b63467a6884aed9479442616a,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_CURRENT_COVERAGE_BUCKET_SUMMARY.csv,outputs/v18/rolling_coverage/V18_23A_CURRENT_COVERAGE_BUCKET_SUMMARY.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_CURRENT_COVERAGE_BUCKET_SUMMARY.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_CURRENT_COVERAGE_BUCKET_SUMMARY.csv,215,2026-05-21T13:48:33,d4897ff6967915099d57911de55b57a11105fc1c643a9fc36b86696de2f2b6c8,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_CURRENT_COVERAGE_SOURCE_AUDIT.csv,outputs/v18/rolling_coverage/V18_23A_CURRENT_COVERAGE_SOURCE_AUDIT.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_CURRENT_COVERAGE_SOURCE_AUDIT.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_CURRENT_COVERAGE_SOURCE_AUDIT.csv,2369,2026-05-21T13:48:33,43664883a0774b06cd200ecfeb648dfcd162f4721e1e9dabd24af5eecff3a4db,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_CURRENT_COVERAGE_VALIDATION.csv,outputs/v18/rolling_coverage/V18_23A_CURRENT_COVERAGE_VALIDATION.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_CURRENT_COVERAGE_VALIDATION.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_CURRENT_COVERAGE_VALIDATION.csv,3331,2026-05-21T13:48:34,dcda1a483356973abba8cedb6e4f5548c084b1305f98915141d75b70e1acc5ec,
CRITICAL_V18_23A,COPIED,outputs/v18/ops/V18_23A_READ_FIRST.txt,outputs/v18/ops/V18_23A_READ_FIRST.txt,D:\us-tech-quant\outputs\v18\ops\V18_23A_READ_FIRST.txt,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\ops\V18_23A_READ_FIRST.txt,2586,2026-05-21T13:48:34,1f0012fd51ac305336b98945dedd524ed90bedefa2d74a11be2043974ed25f55,
CRITICAL_V18_23A,COPIED,outputs/v18/ops/V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER_REPORT.md,outputs/v18/ops/V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER_REPORT.md,D:\us-tech-quant\outputs\v18\ops\V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER_REPORT.md,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\ops\V18_23A_CURRENT_ROLLING_COVERAGE_CONTROLLER_REPORT.md,717,2026-05-21T13:48:34,c71b71674d998d66fb1297003b130386af40dd80bb96333aa7036591479aa507,
CRITICAL_V18_23A,COPIED,scripts/v18/v18_23A_R1_universe_count_drift_reconciliation.py,scripts/v18/v18_23A_R1_universe_count_drift_reconciliation.py,D:\us-tech-quant\scripts\v18\v18_23A_R1_universe_count_drift_reconciliation.py,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\scripts\v18\v18_23A_R1_universe_count_drift_reconciliation.py,31645,2026-05-21T13:55:35,6790fd07b7785e5cab3d80192509e75cf2ca9c54015af4bc77de4c50f9e65f6a,
CRITICAL_V18_23A,COPIED,scripts/v18/run_v18_23A_R1_universe_count_drift_reconciliation.ps1,scripts/v18/run_v18_23A_R1_universe_count_drift_reconciliation.ps1,D:\us-tech-quant\scripts\v18\run_v18_23A_R1_universe_count_drift_reconciliation.ps1,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\scripts\v18\run_v18_23A_R1_universe_count_drift_reconciliation.ps1,1887,2026-05-21T13:55:35,fd08021d8d69221b31b9e04fbc25b511b8d22bd47c22a8c2339ba83eda67630a,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_UNIVERSE_COUNT_DRIFT_RECONCILIATION.md,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_UNIVERSE_COUNT_DRIFT_RECONCILIATION.md,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_UNIVERSE_COUNT_DRIFT_RECONCILIATION.md,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_UNIVERSE_COUNT_DRIFT_RECONCILIATION.md,4475,2026-05-21T13:55:50,3d3408bf33415b3640ac59cf68e4670c413fccb20ebb2ac870f1988e112830db,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_SOURCE_TICKER_COUNT_AUDIT.csv,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_SOURCE_TICKER_COUNT_AUDIT.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_SOURCE_TICKER_COUNT_AUDIT.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_SOURCE_TICKER_COUNT_AUDIT.csv,9665,2026-05-21T13:55:50,9a95f6e86c8a1399b86bb7b1bceeef3651fa66d4a48f1cd16dc406738d7819ba,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_UNIVERSE_SOURCE_COMPARISON.csv,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_UNIVERSE_SOURCE_COMPARISON.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_UNIVERSE_SOURCE_COMPARISON.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_UNIVERSE_SOURCE_COMPARISON.csv,2101,2026-05-21T13:55:50,fef5ffae25eeb58e9cc47f442695e2f4d57d796e2e57e30be04eb48fbc5d34a0,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_TICKER_SET_DIFF.csv,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_TICKER_SET_DIFF.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_TICKER_SET_DIFF.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_TICKER_SET_DIFF.csv,104,2026-05-21T13:55:50,423fb692dd2085380bc5b223006aae77b371195217164b8433972e04cf653817,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_DROPPED_OR_MISSING_TICKERS.csv,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_DROPPED_OR_MISSING_TICKERS.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_DROPPED_OR_MISSING_TICKERS.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_DROPPED_OR_MISSING_TICKERS.csv,92,2026-05-21T13:55:50,cd61b0fd4ec1723c4927b9f3f93b8db044db7d17b6159ca8b01bb553a69e5f9e,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_SUSPICIOUS_TICKERS.csv,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_SUSPICIOUS_TICKERS.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_SUSPICIOUS_TICKERS.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_SUSPICIOUS_TICKERS.csv,615,2026-05-21T13:55:50,38e780b5d3abfb169b642ff218a937ccdf57d9235060526051f50f3193a96c81,
CRITICAL_V18_23A,COPIED,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_RECONCILIATION_VALIDATION.csv,outputs/v18/rolling_coverage/V18_23A_R1_CURRENT_RECONCILIATION_VALIDATION.csv,D:\us-tech-quant\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_RECONCILIATION_VALIDATION.csv,D:\us-tech-quant\archive\stable\V18_23A_stable_rolling_research_coverage_controller_20260521_140212\outputs\v18\rolling_coverage\V18_23A_R1_CURRENT_RECONCILIATION_VALIDATION.csv,3433,2026-05-21T13:55:50,09afc3435fde5d3f9368056a1c447fa1d9089b35b327ffa47efebc12ad26d49f,
