ticker,movement_type,previous_tier,current_tier,previous_score,current_score,score_delta,previous_rank,current_rank,rank_delta,movement_reason,current_score_source,review_required
AA,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AAL,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AAPL,BASELINE_NO_PRIOR_TIER,,TIER_5_WEAK_OR_BLOCKED,,5.710000,,,100,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ABR,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ACLS,BASELINE_NO_PRIOR_TIER,,TIER_3_WATCHLIST,,73.330000,,,29,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ACM,BASELINE_NO_PRIOR_TIER,,TIER_5_WEAK_OR_BLOCKED,,40.000000,,,64,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ACMR,BASELINE_NO_PRIOR_TIER,,TIER_3_WATCHLIST,,65.710000,,,37,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ADBE,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ADMA,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ADSK,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AEHR,BASELINE_NO_PRIOR_TIER,,TIER_1_CORE_CANDIDATE,,94.290000,,,7,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AEIS,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AEVA,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AFRM,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AGX,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ALAB,BASELINE_NO_PRIOR_TIER,,TIER_5_WEAK_OR_BLOCKED,,12.380000,,,93,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ALM,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AMAT,BASELINE_NO_PRIOR_TIER,,TIER_3_WATCHLIST,,72.380000,,,30,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AMC,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AMD,BASELINE_NO_PRIOR_TIER,,TIER_4_REVIEW_ONLY,,61.900000,,,41,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AMKR,BASELINE_NO_PRIOR_TIER,,TIER_1_CORE_CANDIDATE,,88.570000,,,13,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
AMZN,BASELINE_NO_PRIOR_TIER,,TIER_5_WEAK_OR_BLOCKED,,19.050000,,,86,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
ANET,BASELINE_NO_PRIOR_TIER,,TIER_5_WEAK_OR_BLOCKED,,32.380000,,,72,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
APG,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
APH,BASELINE_NO_PRIOR_TIER,,TIER_5_WEAK_OR_BLOCKED,,41.900000,,,62,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
APLD,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
APO,BASELINE_NO_PRIOR_TIER,,TIER_0_DATA_NOT_READY,,,,,,,NO_PRIOR_BASELINE,factor_pack_score,FALSE
