rank,ticker,composite_candidate_score,ranking_source_policy,primary_score_source_files,audit_only_source_files,score_source_status,score_source_files,score_source_columns,latest_price_date,latest_close,technical_status,event_risk_status,overheat_status,pullback_status,execution_status,final_action,reason
1,APH,29.788571,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,121.72,TECH_TIMING_WATCH_POSITIVE,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
2,ACM,26.558730,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,71.49,TECH_TIMING_WATCH_POSITIVE,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
3,CAMT,23.385270,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,155.74,TECH_TIMING_WATCH_POSITIVE,,NOT_AVAILABLE_RESERVED,BB_BELOW_LOWER,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
4,ASML,23.381905,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,1472.39,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
5,CEG,20.464444,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,262.0,TECH_TIMING_WATCH_POSITIVE,,NOT_AVAILABLE_RESERVED,BB_NEAR_LOWER,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
6,AMAT,17.866286,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,413.57,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
7,AMKR,13.462921,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,66.04,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_BELOW_LOWER,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
8,ANET,9.155175,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,141.71,TECH_TIMING_WATCH_POSITIVE,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
9,AMZN,6.746984,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,264.86,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
10,CARR,6.112825,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,64.51,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
11,AVGO,2.810857,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,420.71,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
12,ACMR,-6.071555,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,63.25,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
13,AAPL,-8.716000,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,297.84,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
14,ACLS,-11.541016,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,146.24,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
15,BE,-14.014921,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,258.71,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_MID,,REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
16,AEHR,-15.661778,PRIMARY_CURRENT_ONLY,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/factor_pack/V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_VALUES.csv,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,2026-05-18,83.57,TECH_TIMING_NEUTRAL,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,"Read-only ranking from local source columns: factor_pack_rank, factor_pack_score, overheat_penalty, technical_timing_score, volatility_penalty."
