rank,ticker,composite_candidate_score,ranking_source_policy,primary_score_source_files,audit_only_source_files,score_source_status,score_source_files,score_source_columns,latest_price_date,latest_close,technical_status,event_risk_status,overheat_status,pullback_status,execution_status,final_action,reason
1,VIAV,51.800559,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,48.97999954223633,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
2,SITM,51.403528,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,702.885009765625,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
3,TSEM,50.428133,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,272.67498779296875,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
4,STM,49.556907,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,64.6449966430664,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
5,BW,47.521200,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,20.540000915527344,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
6,PLUG,46.199608,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,3.765000104904175,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
7,TTMI,43.509206,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,175.26499938964844,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
8,TWLO,41.763811,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,183.88999938964844,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
9,HTZ,40.914843,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,5.059999942779541,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_LOWER_HALF,,WAIT_PULLBACK_REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
10,PUMP,40.669884,PRIMARY_CURRENT_ONLY_R25F_PREVIEW,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,,OK_SCORE_SOURCE_FOUND,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,factor_pack_score;technical_timing_score;factor_pack_rank;overheat_penalty;volatility_penalty,2026-05-21,16.94499969482422,TECH_TIMING_STAGED_REFRESH,,NOT_AVAILABLE_RESERVED,BB_UPPER_HALF,,REVIEW_ONLY,R25F preview regenerated from current official factor pack and technical timing only; no external fetch.
