audit_type,key,count,tickers,notes
MISSING_THEME_ROWS,MISSING_FROM_THEME_MAP,0,,Candidates absent from state/v18/reference/V18_TICKER_THEME_MAP.csv.
UNKNOWN_PRIMARY_THEME_ROWS,UNKNOWN,0,,Candidates with primary_theme UNKNOWN after enrichment.
DUPLICATE_THEME_TICKERS,DUPLICATE_IN_THEME_MAP,0,,Duplicate ticker keys in the theme map; first row is used for enrichment.
PRIMARY_THEME_COUNT,SOFTWARE,28,,
PRIMARY_THEME_COUNT,SEMICONDUCTOR,25,,
PRIMARY_THEME_COUNT,HEALTHCARE,22,,
PRIMARY_THEME_COUNT,POWER_INFRASTRUCTURE,19,,
PRIMARY_THEME_COUNT,CONSUMER,18,,
PRIMARY_THEME_COUNT,SEMICONDUCTOR_EQUIPMENT,18,,
PRIMARY_THEME_COUNT,FINTECH,17,,
PRIMARY_THEME_COUNT,INDUSTRIAL,16,,
PRIMARY_THEME_COUNT,DATA_INFRASTRUCTURE,13,,
PRIMARY_THEME_COUNT,INTERNET_PLATFORM,13,,
PRIMARY_THEME_COUNT,AI_INFRASTRUCTURE,11,,
PRIMARY_THEME_COUNT,ECOMMERCE,9,,
PRIMARY_THEME_COUNT,CRYPTO_BETA,8,,
PRIMARY_THEME_COUNT,TRANSPORTATION,8,,
PRIMARY_THEME_COUNT,ENERGY,7,,
PRIMARY_THEME_COUNT,ELECTRONICS_SUPPLY_CHAIN,6,,
PRIMARY_THEME_COUNT,CYBERSECURITY,5,,
PRIMARY_THEME_COUNT,DEFENSIVE,5,,
PRIMARY_THEME_COUNT,OTHER,4,,
ROLE_BUCKET_COUNT,SPECULATIVE_SATELLITE,68,,
ROLE_BUCKET_COUNT,CORE_GROWTH,63,,
ROLE_BUCKET_COUNT,CYCLICAL_GROWTH,61,,
ROLE_BUCKET_COUNT,TACTICAL_BETA,39,,
ROLE_BUCKET_COUNT,DEFENSIVE_HEDGE,13,,
ROLE_BUCKET_COUNT,NON_CORE,8,,
VOLATILITY_BUCKET_COUNT,HIGH,108,,
VOLATILITY_BUCKET_COUNT,MEDIUM,84,,
VOLATILITY_BUCKET_COUNT,EXTREME,47,,
VOLATILITY_BUCKET_COUNT,LOW,13,,
