ticker,in_total_universe,in_current_full_candidates_before,in_current_top_candidates_before,in_latest_signal_freeze,calculation_attempted,price_data_attempted,price_data_available,price_data_source,latest_price_date,history_row_count,history_start_date,history_end_date,factor_calculation_attempted,factor_calculation_success,technical_calculation_attempted,technical_calculation_success,ranking_merge_attempted,ranking_merge_success,factor_score,technical_timing_score,recomputed_composite_score,recomputed_rank,rank_eligible,calculation_status,failure_bucket,failure_reason,evidence_sources
AA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.38,50.0,51.152,26,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
AAL,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50.0,50.0,35.0,132,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
AAPL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-18,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.71,30.0,11.284,314,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ABR,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21.15,72.0,30.06,196,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ACLS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-18,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,73.33,50.0,44.332,55,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ACM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-18,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40.0,68.0,36.4,115,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ACMR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-18,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,65.71,44.0,39.484,86,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ADBE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40.38,50.0,31.152,183,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ADMA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.92,64.0,19.968,295,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
ADSK,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,CURRENT_FACTOR_OR_TECHNICAL,2026-05-20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36.54,50.0,29.616,207,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv
