Date,Adj Close,Close,High,Low,Open,Volume
2021-05-12,190.98934936523438,211.05999755859375,215.11000061035156,211.00999450683594,213.72999572753906,874500
2021-05-13,194.21990966796875,214.6300048828125,215.97000122070312,209.88999938964844,210.47000122070312,889400
2021-05-14,196.40072631835938,217.0399932861328,217.64999389648438,214.1699981689453,215.74000549316406,668500
2021-05-17,197.35992431640625,218.10000610351562,218.64999389648438,215.52000427246094,216.63999938964844,946000
2021-05-18,194.48233032226562,214.9199981689453,217.85000610351562,214.82000732421875,216.86000061035156,943600
2021-05-19,193.95745849609375,214.33999633789062,214.66000366210938,209.94000244140625,213.75,922500
2021-05-20,195.5410614013672,216.08999633789062,216.8300018310547,214.63999938964844,214.63999938964844,954800
2021-05-21,195.49578857421875,216.0399932861328,219.44000244140625,215.47999572753906,217.14999389648438,857500
2021-05-24,195.72203063964844,216.2899932861328,217.83999633789062,215.4499969482422,217.1300048828125,725500
2021-05-25,195.95730590820312,216.5500030517578,217.83999633789062,216.1199951171875,216.72000122070312,726200
2021-05-26,194.40086364746094,214.8300018310547,216.97999572753906,213.94000244140625,215.9199981689453,854200
2021-05-27,198.09286499023438,218.91000366210938,219.36000061035156,215.9600067138672,217.0,2892500
2021-05-28,198.2474365234375,218.05999755859375,219.3000030517578,217.0800018310547,218.49000549316406,824400
2021-06-01,197.45651245117188,217.19000244140625,220.75,216.58999633789062,219.47999572753906,1085100
2021-06-02,198.84750366210938,218.72000122070312,219.63999938964844,216.5800018310547,218.3699951171875,962100
2021-06-03,199.9566192626953,219.94000244140625,220.50999450683594,217.17999267578125,218.0399932861328,873800
2021-06-04,202.5113525390625,222.75,223.8699951171875,219.52000427246094,220.6999969482422,825500
2021-06-07,198.69293212890625,218.5500030517578,223.24000549316406,217.67999267578125,223.13999938964844,1136300
2021-06-08,199.1565704345703,219.05999755859375,219.5399932861328,217.36000061035156,219.5399932861328,1020600
2021-06-09,197.7474365234375,217.50999450683594,218.9600067138672,216.83999633789062,218.7100067138672,979100
2021-06-10,199.62936401367188,219.5800018310547,221.8699951171875,218.5500030517578,219.5800018310547,1497900
2021-06-11,203.01133728027344,223.3000030517578,223.49000549316406,219.92999267578125,220.22000122070312,1251500
