ticker,file_type,relative_path,exists,row_count,notes
BLSH,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/BLSH.csv,TRUE,196,PARTIAL_HISTORY_HOLD
BLSH,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/BLSH.csv,TRUE,196,PARTIAL_HISTORY_HOLD
CAI,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/CAI.csv,TRUE,234,PARTIAL_HISTORY_HOLD
CAI,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CAI.csv,TRUE,234,PARTIAL_HISTORY_HOLD
CDTX,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/CDTX.csv,FALSE,0,EMPTY_FETCH
CDTX,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CDTX.csv,FALSE,0,EMPTY_FETCH
CFLT,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/CFLT.csv,FALSE,0,EMPTY_FETCH
CFLT,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CFLT.csv,FALSE,0,EMPTY_FETCH
CHYM,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/CHYM.csv,TRUE,238,PARTIAL_HISTORY_HOLD
CHYM,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CHYM.csv,TRUE,238,PARTIAL_HISTORY_HOLD
COG,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/COG.csv,FALSE,0,EMPTY_FETCH
COG,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/COG.csv,FALSE,0,EMPTY_FETCH
CRCL,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/CRCL.csv,TRUE,243,PARTIAL_HISTORY_HOLD
CRCL,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CRCL.csv,TRUE,243,PARTIAL_HISTORY_HOLD
FIGR,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/FIGR.csv,TRUE,176,PARTIAL_HISTORY_HOLD
FIGR,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/FIGR.csv,TRUE,176,PARTIAL_HISTORY_HOLD
GEMI,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/GEMI.csv,TRUE,175,PARTIAL_HISTORY_HOLD
GEMI,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/GEMI.csv,TRUE,175,PARTIAL_HISTORY_HOLD
JBS,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/JBS.csv,TRUE,237,PARTIAL_HISTORY_HOLD
JBS,normalized,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/JBS.csv,TRUE,237,PARTIAL_HISTORY_HOLD
JFROG,raw,data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/raw/JFROG.csv,FALSE,0,EMPTY_FETCH
