"rank","ticker","symbol","name","bucket","decision","action","restriction","source","source_file","run_time_jst","compat_status"
"1","AAPL","AAPL","AAPL","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"2","ACLS","ACLS","ACLS","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"3","ACM","ACM","ACM","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"4","ACMR","ACMR","ACMR","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"5","AEHR","AEHR","AEHR","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"6","ALAB","ALAB","ALAB","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"7","AMAT","AMAT","AMAT","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"8","AMD","AMD","AMD","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"9","AMKR","AMKR","AMKR","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
"10","AMZN","AMZN","AMZN","V18_RAW105_COMPAT","REVIEW_ONLY","REVIEW_ONLY","COMPAT_NO_DIRECT_TRADE","V18_RAW105_COMPAT","D:\us-tech-quant\state\v18\raw105_universe_for_factor_lab.csv","2026-05-19 10:53:11","OK_NON_RECURSIVE_EXACT_V17_6E_YAML"
