plan_item,status,expected_value,actual_value,promotion_allowed,reason
r27j_status,PASS,OK_V18_25A_R27J_RANKED_CANDIDATES_PREVIEW_READY,OK_V18_25A_R27J_RANKED_CANDIDATES_PREVIEW_READY,TRUE,
r27j_promotion_recommended,PASS,TRUE,TRUE,TRUE,
target_ticker_match,PASS,TRUE,TRUE,TRUE,
current_row_count_before,PASS,250,250,TRUE,
preview_row_count,PASS,252,252,TRUE,
targets_absent_current,PASS,TRUE,TRUE,TRUE,
targets_once_preview,PASS,TRUE,TRUE,TRUE,
preview_schema_match,PASS,TRUE,TRUE,TRUE,
preview_preserves_current_tickers,PASS,TRUE,TRUE,TRUE,
preview_duplicate_ticker_count,PASS,0,0,TRUE,
target_score_present_count,PASS,2,2,TRUE,
rank_recomputed,PASS,TRUE,TRUE,TRUE,
r27j_forbidden_modified,PASS,FALSE,FALSE,TRUE,
