ticker,rank,primary_theme_before,primary_theme_after,company_name_before,company_name_after,manual_review_required_before,manual_review_required_after,updated,update_reason
VIAV,1,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,Viavi Solutions Inc.,Viavi Solutions Inc.,FALSE,FALSE,TRUE,notes
SITM,2,SEMICONDUCTOR,SEMICONDUCTOR,SiTime Corporation,SiTime Corporation,FALSE,FALSE,TRUE,notes
TSEM,3,SEMICONDUCTOR,SEMICONDUCTOR,Tower Semiconductor Ltd.,Tower Semiconductor Ltd.,FALSE,FALSE,TRUE,notes
STM,4,SEMICONDUCTOR,SEMICONDUCTOR,STMicroelectronics N.V.,STMicroelectronics N.V.,FALSE,FALSE,TRUE,notes
BW,5,POWER_INFRASTRUCTURE,POWER_INFRASTRUCTURE,Babcock & Wilcox Enterprises Inc.,Babcock & Wilcox Enterprises Inc.,FALSE,FALSE,TRUE,notes
PLUG,6,ENERGY,ENERGY,Plug Power Inc.,Plug Power Inc.,FALSE,FALSE,TRUE,notes
TTMI,7,ELECTRONICS_SUPPLY_CHAIN,ELECTRONICS_SUPPLY_CHAIN,TTM Technologies Inc.,TTM Technologies Inc.,FALSE,FALSE,TRUE,notes
TWLO,8,SOFTWARE,SOFTWARE,Twilio Inc.,Twilio Inc.,FALSE,FALSE,TRUE,notes
HTZ,9,TRANSPORTATION,TRANSPORTATION,Hertz Global Holdings Inc.,Hertz Global Holdings Inc.,FALSE,FALSE,TRUE,notes
PUMP,10,ENERGY,ENERGY,ProPetro Holding Corp.,ProPetro Holding Corp.,FALSE,FALSE,TRUE,notes
OLPX,11,CONSUMER,CONSUMER,Olaplex Holdings Inc.,Olaplex Holdings Inc.,FALSE,FALSE,TRUE,notes
APLD,12,AI_INFRASTRUCTURE,AI_INFRASTRUCTURE,Applied Digital Corporation,Applied Digital Corporation,FALSE,FALSE,TRUE,notes
U,13,SOFTWARE,SOFTWARE,Unity Software Inc.,Unity Software Inc.,FALSE,FALSE,TRUE,notes
SMTC,14,SEMICONDUCTOR,SEMICONDUCTOR,Semtech Corporation,Semtech Corporation,FALSE,FALSE,TRUE,notes
SEI,15,ENERGY,ENERGY,SolarEdge Technologies Inc.,SolarEdge Technologies Inc.,FALSE,FALSE,TRUE,notes
SATS,16,DATA_INFRASTRUCTURE,DATA_INFRASTRUCTURE,EchoStar Corporation,EchoStar Corporation,FALSE,FALSE,TRUE,notes
