ticker,in_total_universe,in_current_full_candidates_before,in_current_top_candidates_before,in_latest_signal_freeze,calculation_attempted,price_data_attempted,price_data_available,price_data_source,latest_price_date,history_row_count,history_start_date,history_end_date,factor_calculation_attempted,factor_calculation_success,technical_calculation_attempted,technical_calculation_success,ranking_merge_attempted,ranking_merge_success,factor_score,technical_timing_score,recomputed_composite_score,recomputed_rank,rank_eligible,calculation_status,failure_bucket,failure_reason,evidence_sources,factor_source_true,technical_source_true,score_source_true,factor_recomputed_by_v18_35d,factor_reused_from_raw105,legacy_factor_pack_used,authoritative_row_ok,authoritative_row_block_reason,raw_universe_token_count,sanitized_universe_count,invalid_pseudo_ticker_count,invalid_pseudo_tickers,yfinance_failed_ticker_count,yfinance_failed_tickers,yfinance_failed_ticker_count_raw,price_unavailable_excluded_count,price_unavailable_excluded_tickers,current_price_refresh_blocking_failed_ticker_count
AA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49.480698,30.0,28.792279,219,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
AAL,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,33.68757,30.0,22.475028,312,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
AAPL,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40.219752,30.0,25.087901,282,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ABR,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,23.765325,70.0,30.50613,185,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ACLS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,84.319288,50.0,48.727715,12,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ACM,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21.043149,70.0,29.41726,207,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ACMR,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1421,2020-09-21,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62.688673,30.0,34.075469,128,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ADBE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,27.297215,40.0,22.918886,308,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ADMA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.276826,70.0,25.11073,281,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
ADSK,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,2026-05-29,1263,2021-05-12,2026-05-29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,34.338042,60.0,31.735217,165,TRUE,OK_COMPUTED,OK_COMPUTED,factor and technical calculations available,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;FORCE_YFINANCE_LATEST_SCORE_RECOMPUTE_R3;LOCAL_PRICE_CACHE_PLUS_FORCE_YFINANCE_LATEST_CLOSE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE,V18_35D_PRICE_HISTORY_RECOMPUTE;V18_35D_PRICE_HISTORY_RECOMPUTE,TRUE,FALSE,FALSE,TRUE,NONE,,,,,,,,,,
