metric,value,expected,status,notes
TOTAL_LEDGER_ROWS,323,323,OK,
COVERED_WITHIN_5D,301,301,OK,
NEVER_SUCCESS_COUNT,22,22,OK,
STALE_COUNT,0,0,OK,
REMAINING_COUNT,22,22,OK,
ARTIFACT_TICKERS_PRESENT_COUNT,0,0,OK,
PARTIAL_HISTORY_HOLD_COUNT,17,17,OK,
EMPTY_FETCH_HOLD_COUNT,5,5,OK,
MATURE_REVIEW_PRIORITY_TICKERS,"RDDT,TLN","RDDT,TLN",OK,
NEAR_MATURE_WATCH_TICKERS,"LINE,PONY","LINE,PONY",OK,
EMPTY_FETCH_AUDIT_TICKERS,"CDTX,CFLT,COG,JFROG,MPW","CDTX,CFLT,COG,JFROG,MPW",OK,
MANUAL_REVIEW_OPTIONAL_ROWS,4,0_OR_MORE,OK,Optional input; informational only.
