metric,value,expected,status,notes
R27D_STATUS,OK_V18_25A_R27D_PARTIAL_MATURE_PRICE_CACHE_LEDGER_INTEGRATION_READY,OK_V18_25A_R27D_PARTIAL_MATURE_PRICE_CACHE_LEDGER_INTEGRATION_READY,OK,
TARGET_TICKER_COUNT,2,2,OK,
PRICE_CACHE_PRESENT_COUNT,2,2,OK,
ROLLING_LEDGER_SUCCESS_COUNT,2,2,OK,
FACTOR_PRESENT_COUNT,0,0,OK,
TECHNICAL_PRESENT_COUNT,0,0,OK,
RANKED_CANDIDATE_PRESENT_COUNT,0,0,OK,
READY_FOR_STAGED_FACTOR_TECHNICAL_BUILD_COUNT,2,2,OK,
BLOCKED_COUNT,0,0,OK,
TOTAL_LEDGER_ROWS,323,323,OK,
COVERED_WITHIN_5D,303,303,OK,
NEVER_SUCCESS_COUNT,20,20,OK,
STALE_COUNT,0,0,OK,
REMAINING_COUNT,20,20,OK,
