ticker,universe_tier,data_depth,selected_this_run,update_attempted,update_status,update_mode,used_yfinance,cache_file,cache_exists_before,cache_exists_after,local_source_used,local_source_path,target_history_days,available_history_days,latest_price_date,latest_close,row_count_before,row_count_after,rows_added,failed_reason,runtime_deferred,updated_at
AEHR,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AEHR.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AEHR.csv,540,1420,2026-05-15,101.18499755859375,1420,1420,0,,FALSE,2026-05-27T12:58:05
AAPL,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AAPL.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AAPL.csv,540,1420,2026-05-15,301.3951110839844,1420,1420,0,,FALSE,2026-05-27T12:58:05
APH,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/APH.csv,TRUE,TRUE,TRUE,state/v18/price_cache/APH.csv,540,1420,2026-05-15,125.55000305175781,1420,1420,0,,FALSE,2026-05-27T12:58:05
AVGO,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AVGO.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AVGO.csv,540,1420,2026-05-15,426.2049865722656,1420,1420,0,,FALSE,2026-05-27T12:58:05
CAMT,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/CAMT.csv,TRUE,TRUE,TRUE,state/v18/price_cache/CAMT.csv,540,1420,2026-05-15,170.53500366210938,1420,1420,0,,FALSE,2026-05-27T12:58:05
CEG,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/CEG.csv,TRUE,TRUE,TRUE,state/v18/price_cache/CEG.csv,540,1085,2026-05-15,268.739990234375,1085,1085,0,,FALSE,2026-05-27T12:58:05
BE,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/BE.csv,TRUE,TRUE,TRUE,state/v18/price_cache/BE.csv,540,1420,2026-05-15,281.7550048828125,1420,1420,0,,FALSE,2026-05-27T12:58:05
SITM,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/SITM.csv,TRUE,TRUE,TRUE,state/v18/price_cache/SITM.csv,540,1633,2026-05-21,702.885009765625,1633,1633,0,,FALSE,2026-05-27T12:58:05
TSEM,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/TSEM.csv,TRUE,TRUE,TRUE,state/v18/price_cache/TSEM.csv,540,7945,2026-05-21,272.67498779296875,7945,7945,0,,FALSE,2026-05-27T12:58:05
ACM,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/ACM.csv,TRUE,TRUE,TRUE,state/v18/price_cache/ACM.csv,540,1420,2026-05-15,72.33999633789062,1420,1420,0,,FALSE,2026-05-27T12:58:05
