ticker,universe_tier,data_depth,selected_this_run,update_attempted,update_status,update_mode,used_yfinance,cache_file,cache_exists_before,cache_exists_after,local_source_used,local_source_path,target_history_days,available_history_days,latest_price_date,latest_close,row_count_before,row_count_after,rows_added,failed_reason,runtime_deferred,updated_at
APH,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/APH.csv,FALSE,FALSE,FALSE,,540,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
CEG,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/CEG.csv,FALSE,FALSE,FALSE,,540,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
ACM,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/ACM.csv,FALSE,FALSE,FALSE,,540,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
CAMT,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/CAMT.csv,FALSE,FALSE,FALSE,,540,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
ASML,CORE_DAILY,FULL_FACTOR_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/ASML.csv,FALSE,FALSE,FALSE,,540,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
AAPL,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/AAPL.csv,FALSE,FALSE,FALSE,,270,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
AEHR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/AEHR.csv,FALSE,FALSE,FALSE,,270,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
ANET,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/ANET.csv,FALSE,FALSE,FALSE,,270,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
AVGO,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/AVGO.csv,FALSE,FALSE,FALSE,,270,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
AMKR,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,FAILED_YFINANCE_EMPTY,YFINANCE_SCAN_SCOPE,FALSE,state/v18/price_cache/AMKR.csv,FALSE,FALSE,FALSE,,270,0,,,0,0,0,empty provider response,FALSE,2026-05-19T11:47:46
