ticker,output_bucket,trust_level,score_available,composite_score,score_source,tier_current,technical_available,technical_status,official_price_cache_available,rolling_ledger_status,staged_backfill_status,data_gap_reason,official_rank_allowed,watch_only,trade_allowed,reason_summary
AA,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,90.38,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AAL,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,50.0,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AAPL,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,5.71,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ABR,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,21.15,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ACLS,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,73.33,factor_pack,TIER_3_WATCHLIST,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ACM,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,40.0,factor_pack,TIER_5_WEAK_OR_BLOCKED,TRUE,TECH_TIMING_WATCH_POSITIVE,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ACMR,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,65.71,factor_pack,TIER_3_WATCHLIST,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ADBE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,40.38,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ADMA,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,1.92,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_PULLBACK_WATCH,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
ADSK,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,36.54,factor_pack,TIER_0_DATA_NOT_READY,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,MERGE_CANDIDATE_FULL_HISTORY,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=yes; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
AEHR,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,94.29,factor_pack,TIER_1_CORE_CANDIDATE,TRUE,TECH_TIMING_NEUTRAL,TRUE,SUCCESS_LOCAL_SCAN,,NO_MAJOR_DATA_GAP_DETECTED,TRUE,FALSE,FALSE,score=yes; technical=yes; official_price=yes; staged=no; bucket=HIGH_TRUST_OFFICIAL_RANK_CANDIDATE
