metric,value
STATUS,OK_V18_25A_DEGRADED_DAILY_OUTPUT_CONTROLLER_READY
MODE,READ_ONLY_DEGRADED_DAILY_OUTPUT_CONTROLLER
TOTAL_TICKER_COUNT,324
HIGH_TRUST_COUNT,155
MEDIUM_TRUST_COUNT,2
LOW_TRUST_COUNT,64
DATA_NOT_READY_COUNT,103
OFFICIAL_RANK_ALLOWED_COUNT,155
WATCH_ONLY_COUNT,66
TRADE_ALLOWED_COUNT,0
SOURCE_MISSING_WARNING_COUNT,0
DATA_GAP_RECOMMENDATION_COUNT,137
OFFICIAL_DECISION_IMPACT,NONE
AUTO_TRADE,DISABLED
AUTO_SELL,DISABLED
PRICE_CACHE_MODIFIED,FALSE
PRICE_HISTORY_MODIFIED,FALSE
STAGED_BACKFILL_MODIFIED,FALSE
LEDGER_MODIFIED,FALSE
FACTOR_PACK_MODIFIED,FALSE
TECHNICAL_TIMING_MODIFIED,FALSE
BACKTEST_EXECUTED,FALSE
EXTERNAL_DATA_FETCHED,FALSE
OFFICIAL_DAILY_DECISION_MODIFIED,FALSE
VALIDATION_FAIL_COUNT,0
SOURCE_1,factor_pack: exists rows=157 indexed_tickers=157
SOURCE_2,technical_timing: exists rows=157 indexed_tickers=157
SOURCE_3,rolling_ledger: exists rows=324 indexed_tickers=324
SOURCE_4,tier_migration_snapshot: exists rows=324 indexed_tickers=324
SOURCE_5,tier_migration_audit: exists rows=324 indexed_tickers=324
SOURCE_6,staged_r5_quality: exists rows=65 indexed_tickers=65
SOURCE_7,staged_r5_merge_candidates: exists rows=52 indexed_tickers=52
SOURCE_8,staged_r5_hold_review: exists rows=8 indexed_tickers=8
SOURCE_9,tier_latest:V18_24A_CURRENT_DYNAMIC_SCORE_TIER_MIGRATION_AUDIT.csv: rows=324 indexed_tickers=324
