ticker,merge_ready,merge_blocker,schema_compatible,formula_compatibility,notes
AA,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
AAL,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
ABR,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
ADBE,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
ADMA,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
ADSK,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
AEIS,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
AEVA,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
AFRM,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
AGX,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
ALM,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
APG,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
APO,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
APP,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
ARGT,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
AXON,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BABA,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BAC,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BALL,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BIDU,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BITF,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BKNG,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BLTE,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BN,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
BSX,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CART,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CDNS,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CHPT,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CHRW,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CLF,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CLH,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CLSK,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
CMG,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
LPLA,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
LSCC,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
LYB,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
LYFT,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
MA,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
MCK,TRUE,NONE,TRUE,FULL_COMPATIBLE_WITH_LOCAL_REIMPLEMENTATION,R11 staged output only; current technical file not overwritten.
