ticker,r6_integration_success,r7_ledger_success,current_output_bucket,current_trust_level,official_rank_allowed,watch_only,trade_allowed,score_available,best_available_score,factor_pack_present,technical_present,technical_status,tier_migration_present,tier_current,official_price_cache_available,rolling_ledger_last_status,rolling_ledger_last_success_date,current_data_gap_reason,promotion_blocker_primary,promotion_blocker_secondary,recommended_next_fix
AA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,90.38,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
AAL,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,50.0,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
ABR,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,21.15,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
ADBE,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,40.38,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
ADMA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,1.92,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
ADSK,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,36.54,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
AEIS,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,96.15,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
AEVA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,23.08,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
AFRM,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,28.85,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
AGX,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,100.0,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
ALM,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,94.23,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
APG,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,75.0,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
APO,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,48.08,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
APP,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,19.23,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
ARGT,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,53.85,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
AXON,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,3.85,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
