script_path,script_type,matched_terms,notes
D:\us-tech-quant\scripts\v18\run_v18_18E_technical_timing_current_alias_externalization_audit.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_18F_technical_timing_current_detail_slimming.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21A_price_derived_factor_pack.ps1,factor,factor_pack,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21B_R1_signal_snapshot_quality_patch.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21B_R1_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21B_signal_snapshot_research_linker.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_factor_effectiveness_read_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_R1_sample_maturity_forward_match_patch.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_R2_forward_match_key_quality_plan.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21C_R2_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_forward_tracker_link_key_upgrade_plan.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_R1_controlled_forward_tracker_link_key_application.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_R1_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21D_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21F_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21F_unified_research_chain_read_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21G_controlled_forward_outcome_filler_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21G_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_full_history_backfill_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_R1_controlled_staged_backfill_batch1_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_R1_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21H_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21I_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_21I_unified_backtest_research_design.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22A_research_command_center.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22A_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22B_daily_research_command_center_wrapper.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22B_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22C_research_packet_writer.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
D:\us-tech-quant\scripts\v18\run_v18_22C_stable_snapshot.ps1,technical,technical_timing,Detected via repo text search only; no modification made.
