ticker,price_date,input_history_rows,duplicate_date_count,close_column_available,technical_status,formula_compatibility,technical_timing_score,technical_signal,technical_refresh_blocker,reason_summary
AA,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
AAL,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
ABR,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,
ADBE,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
ADMA,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,
ADSK,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
AEIS,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,
AEVA,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,40.0,TECH_TIMING_NEUTRAL,NONE,
AFRM,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,50.0,TECH_TIMING_NEUTRAL,NONE,
AGX,2026-05-20,1262,0,TRUE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,PARTIAL_COMPATIBLE,58.0,TECH_TIMING_NEUTRAL,NONE,
