candidate_name,source_path,file_type,row_count,min_date,max_date,date_column_detected,close_column_detected,usable_as_vix_history,usable_as_vix_substitute,notes
QQQ,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\state\v18\price_cache\QQQ.csv,csv_history,1420,2020-09-21,2026-05-15,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
SPY,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\state\v18\price_cache\SPY.csv,csv_history,1420,2020-09-21,2026-05-15,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
TQQQ,D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357\state\v18\price_cache\TQQQ.csv,csv_history,1,2026-05-18,2026-05-18,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
QQQ,D:\us-tech-quant\state\v18\price_cache\QQQ.csv,csv_history,1420,2020-09-21,2026-05-15,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
SPY,D:\us-tech-quant\state\v18\price_cache\SPY.csv,csv_history,1420,2020-09-21,2026-05-15,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
TQQQ,D:\us-tech-quant\state\v18\price_cache\TQQQ.csv,csv_history,1,2026-05-18,2026-05-18,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
QQQ,D:\us-tech-quant\data\v16\prices_full\QQQ.csv,csv_history,1760,2019-05-16,2026-05-15,Date,Close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
SPY,D:\us-tech-quant\data\v16\prices_full\SPY.csv,csv_history,1760,2019-05-16,2026-05-15,Date,Close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
TQQQ,D:\us-tech-quant\data\v16\prices_full\TQQQ.csv,csv_history,1760,2019-05-16,2026-05-15,Date,Close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
QQQ,D:\us-tech-quant\data\v16\prices\QQQ.csv,csv_history,1760,2019-05-14,2026-05-13,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
SPY,D:\us-tech-quant\data\v16\prices\SPY.csv,csv_history,1760,2019-05-14,2026-05-13,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
TQQQ,D:\us-tech-quant\data\v16\prices\TQQQ.csv,csv_history,1760,2019-05-14,2026-05-13,date,close,FALSE,FALSE,Benchmark proxy only; not a volatility proxy.
V18_21A_CURRENT_LIGHTWEIGHT_MARKET_REGIME,D:\us-tech-quant\archive\stable\V18_21A_R4_stable_price_derived_factors_advisory_backfill_plan_20260520_162711\outputs\v18\market_regime\V18_21A_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv,csv_output,1,,,,,FALSE,FALSE,"Derived output, not raw proxy history. No date column detected. No close column detected."
V18_21A_R1_CURRENT_LIGHTWEIGHT_MARKET_REGIME,D:\us-tech-quant\archive\stable\V18_21A_R4_stable_price_derived_factors_advisory_backfill_plan_20260520_162711\outputs\v18\market_regime\V18_21A_R1_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv,csv_output,1,,,,,FALSE,FALSE,"Derived output, not raw proxy history. No date column detected. No close column detected."
V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME,D:\us-tech-quant\archive\stable\V18_21A_R4_stable_price_derived_factors_advisory_backfill_plan_20260520_162711\outputs\v18\market_regime\V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv,csv_output,1,,,,,FALSE,FALSE,"Derived output, not raw proxy history. No date column detected. No close column detected."
V18_21A_CURRENT_LIGHTWEIGHT_MARKET_REGIME,D:\us-tech-quant\outputs\v18\market_regime\V18_21A_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv,csv_output,1,,,,,FALSE,FALSE,"Derived output, not raw proxy history. No date column detected. No close column detected."
V18_21A_R1_CURRENT_LIGHTWEIGHT_MARKET_REGIME,D:\us-tech-quant\outputs\v18\market_regime\V18_21A_R1_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv,csv_output,1,,,,,FALSE,FALSE,"Derived output, not raw proxy history. No date column detected. No close column detected."
V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME,D:\us-tech-quant\outputs\v18\market_regime\V18_21A_R2_CURRENT_LIGHTWEIGHT_MARKET_REGIME.csv,csv_output,1,,,,,FALSE,FALSE,"Derived output, not raw proxy history. No date column detected. No close column detected."
