asof_date,ticker,signal_snapshot_id,raw_research_score,factor_pack_score,composite_candidate_score,price_derived_total_score,technical_timing_score,market_event_risk_coefficient,ticker_event_risk_coefficient,final_event_risk_coefficient,event_adjusted_score,event_adjusted_rank,event_action_status,event_adjustment_status,official_decision_impact
2026-05-20,AA,V18_21B-2026-05-20-AA-A31348FB92CC,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AAL,V18_21B-2026-05-20-AAL-DBC19D4C5248,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AAPL,V18_21B-2026-05-20-AAPL-5613A530AF73,5.71,5.71,5.71,4,30.0,1.000000,1.000000,1.000000,5.710000,100,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,ABR,V18_21B-2026-05-20-ABR-D8C2ECA2C3A3,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,ACLS,V18_21B-2026-05-20-ACLS-45712EF7C798,73.33,73.33,73.33,7,50.0,1.000000,1.000000,1.000000,73.330000,29,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,ACM,V18_21B-2026-05-20-ACM-72785AD50410,40.0,40.0,40.0,-8,68.0,1.000000,1.000000,1.000000,40.000000,64,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,ACMR,V18_21B-2026-05-20-ACMR-D037B213F266,65.71,65.71,65.71,1,44.0,1.000000,1.000000,1.000000,65.710000,37,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,ADBE,V18_21B-2026-05-20-ADBE-CB82AA2FAB52,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,ADMA,V18_21B-2026-05-20-ADMA-D6EC5EBD73A3,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,ADSK,V18_21B-2026-05-20-ADSK-8DF2B6E3EA27,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AEHR,V18_21B-2026-05-20-AEHR-0734B067E793,94.29,94.29,94.29,6,48.0,1.000000,1.000000,1.000000,94.290000,7,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,AEIS,V18_21B-2026-05-20-AEIS-757436875728,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AEVA,V18_21B-2026-05-20-AEVA-D751A6945F4F,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AFRM,V18_21B-2026-05-20-AFRM-4C9760042FC5,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AGX,V18_21B-2026-05-20-AGX-3970A3E2E5F2,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,ALAB,V18_21B-2026-05-20-ALAB-D169EFF0EBDB,12.38,12.38,12.38,-2,50.0,1.000000,1.000000,1.000000,12.380000,93,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,ALM,V18_21B-2026-05-20-ALM-0183CE7D3202,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
2026-05-20,AMAT,V18_21B-2026-05-20-AMAT-09675EEC2458,72.38,72.38,72.38,6,44.0,1.000000,1.000000,1.000000,72.380000,30,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_ADJUSTED_ADVISORY_ONLY,NONE
2026-05-20,AMC,V18_21B-2026-05-20-AMC-0B3358A7744F,,,,,,1.000000,1.000000,1.000000,,,HARD_LOCK_SOURCE_DETECTED_ADVISORY,SCORE_UNAVAILABLE_COEFFICIENT_ONLY,NONE
