list_name,rank,ticker,sort_metric,sort_metric_value,event_action_status,notes
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,1,CRM,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,2,ORCL,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,3,GOOGL,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,4,MSFT,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,5,AMZN,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,6,AA,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,7,AAL,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,8,AAPL,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,9,ABR,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
TOP_CALENDAR_TICKER_EVENT_RISK_BY_LOWEST_COEFFICIENT,10,ACLS,calendar_ticker_event_risk_coefficient,1.000000,MARKET_HARD_LOCK_OVERLAY_ADVISORY,"Sorted by coefficient, then nearest event, then ticker."
