run_date,signal_date,policy_id,ticker,entry_rank,entry_score,entry_price,entry_price_date,simulated_entry_action,simulated_exit_rule,simulated_position_size_label,event_risk,options_risk,technical_status,pullback_status,forward_5d_return,forward_10d_return,forward_20d_return,forward_60d_return,forward_5d_date,forward_10d_date,forward_20d_date,forward_60d_date,selected_forward_horizon,selected_forward_date,selected_forward_return_source,factor_point_in_time_status,technical_point_in_time_status,event_risk_point_in_time_status,options_risk_point_in_time_status,event_options_history_status,comparison_basis_status,forward_status,exit_date,exit_price,realized_policy_return,data_quality_flag,reason
2026-05-30,2026-05-14,BASELINE_TOP20,TXN,1,0.952381,306.339996,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,-0.002154,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,305.679993,-0.002154,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,DDOG,2,1.904762,205.309998,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.204764,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,247.350006,0.204764,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,ALAB,3,2.857143,224.089996,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.529966,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,342.850006,0.529966,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,AAPL,4,3.809524,298.869995,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.044133,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,312.059998,0.044133,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,NOW,5,4.761905,87.050003,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.428719,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,124.370003,0.428719,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,CRWD,6,5.714286,562.570007,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.299394,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,731.000000,0.299394,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,TSLA,7,6.666667,445.269989,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,-0.021290,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,435.790009,-0.021290,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,GOOGL,8,7.619048,402.619995,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,-0.055338,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,380.339996,-0.055338,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,TQQQ,9,8.571429,77.239998,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.094770,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,84.559998,0.094770,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
2026-05-30,2026-05-14,BASELINE_TOP20,ON,10,9.52381,115.709999,2026-05-13,SIMULATED_ENTRY_RESEARCH_ONLY,FIXED_HOLD_20D_PLUS_RANK_DETERIORATION_IF_AVAILABLE,EQUAL_WEIGHT,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,0.042434,UNKNOWN,UNKNOWN,UNKNOWN,2026-05-29,UNKNOWN,UNKNOWN,UNKNOWN,5d,2026-05-29,factor_forward_tracker,POINT_IN_TIME_MATCHED,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,UNKNOWN_POINT_IN_TIME_UNAVAILABLE,LIMITED_EVENT_OPTIONS_HISTORY,COMPARISON_BASIS_LIMITED,COMPLETED_FORWARD_RETURN,2026-05-29,120.620003,0.042434,PARTIAL_FORWARD_RETURN,SIMULATION_ONLY_POLICY_ATTRIBUTION_NO_REAL_TRADE_INSTRUCTION
