summary_type,summary_key,summary_value
STATUS,OFFICIAL_ACTIVE,3
STATUS,OFFICIAL_SMALL_WEIGHT,2
STATUS,PLANNED_NOT_IMPLEMENTED,8
STATUS,RESEARCH_ONLY,26
STATUS,RISK_ADJUSTED_ONLY,1
STATUS,RISK_GATE_ONLY,25
STATUS,SHADOW_ONLY,6
GROUP,ACTION_RESPONSE,6
GROUP,ALPHA,2
GROUP,DATA_QUALITY,10
GROUP,EVENT_RISK,5
GROUP,FORWARD_ATTRIBUTION,3
GROUP,MANUAL_FEEDBACK,1
GROUP,MARKET_REGIME,9
GROUP,OPTIONS_RISK,8
GROUP,PORTFOLIO_RISK,5
GROUP,STRATEGY_VALIDATION,10
GROUP,TECHNICAL_TIMING,10
GROUP,UNIVERSE_COVERAGE,2
SAFETY,OFFICIAL_RANKING_CHANGED,FALSE
SAFETY,FACTOR_WEIGHTS_CHANGED,FALSE
SAFETY,TRADING_EXECUTION_ALLOWED,FALSE
