ticker,refresh_attempted,refresh_success,blocker,price_rows,latest_price_date,factor_pack_score,vix_included,vix_regime
AA,TRUE,TRUE,NONE,1262,2026-05-20,90.38,TRUE,VIX_NORMAL
AAL,TRUE,TRUE,NONE,1262,2026-05-20,50.0,TRUE,VIX_NORMAL
ABR,TRUE,TRUE,NONE,1262,2026-05-20,21.15,TRUE,VIX_NORMAL
ADBE,TRUE,TRUE,NONE,1262,2026-05-20,40.38,TRUE,VIX_NORMAL
ADMA,TRUE,TRUE,NONE,1262,2026-05-20,1.92,TRUE,VIX_NORMAL
ADSK,TRUE,TRUE,NONE,1262,2026-05-20,36.54,TRUE,VIX_NORMAL
AEIS,TRUE,TRUE,NONE,1262,2026-05-20,96.15,TRUE,VIX_NORMAL
AEVA,TRUE,TRUE,NONE,1262,2026-05-20,23.08,TRUE,VIX_NORMAL
AFRM,TRUE,TRUE,NONE,1262,2026-05-20,28.85,TRUE,VIX_NORMAL
AGX,TRUE,TRUE,NONE,1262,2026-05-20,100.0,TRUE,VIX_NORMAL
ALM,TRUE,TRUE,NONE,1262,2026-05-20,94.23,TRUE,VIX_NORMAL
APG,TRUE,TRUE,NONE,1262,2026-05-20,75.0,TRUE,VIX_NORMAL
APO,TRUE,TRUE,NONE,1262,2026-05-20,48.08,TRUE,VIX_NORMAL
APP,TRUE,TRUE,NONE,1262,2026-05-20,19.23,TRUE,VIX_NORMAL
ARGT,TRUE,TRUE,NONE,1262,2026-05-20,53.85,TRUE,VIX_NORMAL
AXON,TRUE,TRUE,NONE,1262,2026-05-20,3.85,TRUE,VIX_NORMAL
BABA,TRUE,TRUE,NONE,1262,2026-05-20,46.15,TRUE,VIX_NORMAL
BAC,TRUE,TRUE,NONE,1262,2026-05-20,78.85,TRUE,VIX_NORMAL
BALL,TRUE,TRUE,NONE,1262,2026-05-20,67.31,TRUE,VIX_NORMAL
BIDU,TRUE,TRUE,NONE,1262,2026-05-20,88.46,TRUE,VIX_NORMAL
BITF,TRUE,TRUE,NONE,1262,2026-05-20,63.46,TRUE,VIX_NORMAL
BKNG,TRUE,TRUE,NONE,1262,2026-05-20,32.69,TRUE,VIX_NORMAL
BLTE,TRUE,TRUE,NONE,1018,2026-05-20,92.31,TRUE,VIX_NORMAL
BN,TRUE,TRUE,NONE,1262,2026-05-20,61.54,TRUE,VIX_NORMAL
BSX,TRUE,TRUE,NONE,1262,2026-05-20,11.54,TRUE,VIX_NORMAL
CART,TRUE,TRUE,NONE,670,2026-05-20,34.62,TRUE,VIX_NORMAL
CDNS,TRUE,TRUE,NONE,1262,2026-05-20,69.23,TRUE,VIX_NORMAL
CHPT,TRUE,TRUE,NONE,1262,2026-05-20,55.77,TRUE,VIX_NORMAL
CHRW,TRUE,TRUE,NONE,1262,2026-05-20,73.08,TRUE,VIX_NORMAL
CLF,TRUE,TRUE,NONE,1262,2026-05-20,5.77,TRUE,VIX_NORMAL
CLH,TRUE,TRUE,NONE,1262,2026-05-20,84.62,TRUE,VIX_NORMAL
CLSK,TRUE,TRUE,NONE,1262,2026-05-20,17.31,TRUE,VIX_NORMAL
CMG,TRUE,TRUE,NONE,1262,2026-05-20,25.0,TRUE,VIX_NORMAL
LPLA,TRUE,TRUE,NONE,1262,2026-05-20,51.92,TRUE,VIX_NORMAL
LSCC,TRUE,TRUE,NONE,1262,2026-05-20,13.46,TRUE,VIX_NORMAL
LYB,TRUE,TRUE,NONE,1262,2026-05-20,82.69,TRUE,VIX_NORMAL
LYFT,TRUE,TRUE,NONE,1262,2026-05-20,57.69,TRUE,VIX_NORMAL
MA,TRUE,TRUE,NONE,1262,2026-05-20,38.46,TRUE,VIX_NORMAL
MCK,TRUE,TRUE,NONE,1262,2026-05-20,42.31,TRUE,VIX_NORMAL
MELI,TRUE,TRUE,NONE,1262,2026-05-20,9.62,TRUE,VIX_NORMAL
MOH,TRUE,TRUE,NONE,1262,2026-05-20,76.92,TRUE,VIX_NORMAL
MPLX,TRUE,TRUE,NONE,1262,2026-05-20,59.62,TRUE,VIX_NORMAL
MTSI,TRUE,TRUE,NONE,1262,2026-05-20,86.54,TRUE,VIX_NORMAL
MTZ,TRUE,TRUE,NONE,1262,2026-05-20,98.08,TRUE,VIX_NORMAL
NAMS,TRUE,TRUE,NONE,1262,2026-05-20,7.69,TRUE,VIX_NORMAL
NFLX,TRUE,TRUE,NONE,1262,2026-05-20,44.23,TRUE,VIX_NORMAL
NI,TRUE,TRUE,NONE,1262,2026-05-20,71.15,TRUE,VIX_NORMAL
NRG,TRUE,TRUE,NONE,1262,2026-05-20,30.77,TRUE,VIX_NORMAL
NTRA,TRUE,TRUE,NONE,1262,2026-05-20,26.92,TRUE,VIX_NORMAL
NU,TRUE,TRUE,NONE,1115,2026-05-20,65.38,TRUE,VIX_NORMAL
NUVB,TRUE,TRUE,NONE,1262,2026-05-20,15.38,TRUE,VIX_NORMAL
OC,TRUE,TRUE,NONE,1262,2026-05-20,80.77,TRUE,VIX_NORMAL
