factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
1,BW,97.0404,2026-05-29,18.450000762939453,-0.155606,0.272414,1.007617,1.952000,0.869558,88.9015,85.202,24.6372,72.813296,97.0404,100.0,85.202,,,V18_35D_RECOMPUTE
2,AEHR,94.4644,2026-05-29,92.33000183105469,-0.116966,0.024182,1.747917,3.555007,0.776043,79.2415,72.322,18.402867,36.461045,94.4644,100.0,72.322,,,V18_35D_RECOMPUTE
3,INTC,94.268667,2026-05-29,114.68000030517578,-0.114030,0.745510,1.599864,2.324058,0.719242,78.5075,71.343333,14.616133,100.0,94.268667,100.0,71.343333,,,V18_35D_RECOMPUTE
4,SITM,89.908647,2026-05-29,710.2000122070312,-0.082500,0.245397,0.785050,1.385623,1.306161,70.625,60.833333,53.744067,86.754665,89.908647,100.0,60.833333,,,V18_35D_RECOMPUTE
5,TSEM,89.111353,2026-05-29,255.22999572753906,-0.068436,0.272714,1.060966,1.360836,0.783482,67.109,56.145333,18.8988,68.944418,89.111353,100.0,56.145333,,,V18_35D_RECOMPUTE
6,WOLF,86.745267,2026-05-29,59.279998779296875,-0.001179,0.997978,2.006085,1.681140,0.860486,50.29475,33.726333,24.0324,100.0,86.745267,100.0,33.726333,,,V18_35D_RECOMPUTE
7,BE,86.413067,2026-05-29,285.0,0.003804,0.305722,0.931549,2.167019,0.691248,49.049,32.065333,12.749867,68.554954,86.413067,100.0,32.065333,,,V18_35D_RECOMPUTE
8,POWL,86.162626,2026-05-29,284.4200134277344,-0.116845,0.176992,0.560404,2.025208,0.716125,79.21125,72.281667,14.408333,54.458066,86.162626,100.0,72.281667,,,V18_35D_RECOMPUTE
9,WDC,84.678933,2026-05-29,531.2100219726562,0.029816,0.419930,0.860500,2.816438,0.642937,42.546,23.394667,9.529133,78.331422,84.678933,100.0,23.394667,,,V18_35D_RECOMPUTE
10,CIEN,84.46499,2026-05-29,580.22998046875,-0.002133,0.152920,0.732288,2.254965,0.585585,50.53325,34.044333,5.705667,48.257943,84.46499,100.0,34.044333,,,V18_35D_RECOMPUTE
11,ACLS,84.319288,2026-05-29,150.41000366210938,-0.088866,0.147993,0.876372,0.956426,0.546146,72.2165,62.955333,3.0764,46.804297,84.319288,94.4266,62.955333,,,V18_35D_RECOMPUTE
12,VIAV,84.297395,2026-05-29,48.560001373291016,-0.055804,0.016963,0.624080,1.706800,1.030435,63.951,51.934667,35.362333,36.246545,84.297395,100.0,51.934667,,,V18_35D_RECOMPUTE
13,FLEX,84.042667,2026-05-29,150.77999877929688,0.039360,0.789037,1.295676,1.727075,0.746462,40.16,20.213333,16.4308,100.0,84.042667,100.0,20.213333,,,V18_35D_RECOMPUTE
