ticker,latest_price_date,latest_close,ret_1d,ret_5d,ret_20d,ret_60d,ret_120d,ma20,ma60,drawdown_20d_high,drawdown_60d_high,volume_avg_5d,volume_avg_20d,volume_ratio_5_20,ann_volatility_20d,trend_ok_60_120,short_rev_raw,ts_momentum_raw,volume_price_confirm_raw,pullback_uptrend_raw,ts_pullback_reversal_raw,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,F010_XSEC_COMPOSITE_RANK_RAW,F010_XSEC_COMPOSITE_RANK,factor_pack_score,factor_pack_rank,shadow_side_hint
LITE,2026-05-29,854.960022,-0.006577,-0.113572,-0.052487,0.255817,1.607778,939.645502,828.041,-0.188142,-0.188142,5000900.0,6206110.0,0.805803,0.951311,True,0.113572,0.931797,-0.091516,0.301713,0.105826,99.047619,100.0,15.238095,1.904762,79.047619,100.0,80.952381,31.428571,61.085714,100.0,100.0,1,PULLBACK_IN_UPTREND
BE,2026-05-29,285.0,-0.017275,-0.074315,0.005788,0.729579,1.413414,284.861002,212.083834,-0.074315,-0.074315,9947080.0,10015385.0,0.99318,0.81982,True,0.074315,1.071496,-0.073808,0.148629,0.079628,98.095238,90.804598,54.285714,4.761905,82.857143,99.047619,73.333333,68.571429,60.853202,99.047619,99.05,2,PULLBACK_IN_UPTREND
FIX,2026-05-29,1828.209961,-0.014522,-0.003879,-0.006153,0.279294,0.821407,1917.820013,1647.998047,-0.104503,-0.104503,420880.0,405850.0,1.037033,0.407019,True,0.003879,0.55035,-0.004023,0.108383,0.002135,82.857143,83.908046,61.904762,18.095238,56.190476,85.714286,23.809524,34.285714,60.021675,98.095238,98.1,3,PULLBACK_IN_UPTREND
VRT,2026-05-29,315.709991,0.00487,-0.023779,-0.038905,0.256706,0.72995,339.694002,299.732907,-0.160859,-0.160859,5844280.0,5713815.0,1.022833,0.578527,True,0.023779,0.493328,-0.024322,0.184638,0.011731,89.52381,95.402299,60.0,9.52381,50.47619,91.428571,49.52381,32.380952,59.902791,97.142857,97.14,4,PULLBACK_IN_UPTREND
NVDA,2026-05-29,211.139999,-0.014516,-0.03813,0.057975,0.153581,0.151442,215.458001,196.515843,-0.104352,-0.104352,191273400.0,166186080.0,1.150959,0.367451,True,0.03813,0.152511,-0.043886,0.142483,0.005815,93.333333,88.505747,78.095238,5.714286,20.952381,89.52381,15.238095,18.095238,58.328407,96.190476,96.19,5,PULLBACK_IN_UPTREND
FN,2026-05-29,654.159973,-0.020645,-0.069831,-0.042884,0.160126,0.386578,679.843005,622.257502,-0.123662,-0.123662,1192780.0,1038785.0,1.148245,0.743962,True,0.069831,0.273352,-0.080183,0.193493,0.019088,96.190476,96.551724,77.142857,3.809524,29.52381,93.333333,68.571429,19.047619,58.212808,95.238095,95.24,6,PULLBACK_IN_UPTREND
FORM,2026-05-29,124.589996,-0.043235,-0.026641,-0.083425,0.345464,1.17245,133.331998,119.452999,-0.177081,-0.196608,1538880.0,2058880.0,0.747435,0.755451,True,0.026641,0.758957,-0.019912,0.203721,0.020219,90.47619,98.850575,8.571429,12.380952,72.380952,94.285714,69.52381,42.857143,57.404269,94.285714,94.29,7,PULLBACK_IN_UPTREND
GLW,2026-05-29,181.160004,-0.008375,-0.054471,0.10471,0.252676,1.127283,185.512561,160.681862,-0.128876,-0.128876,11284700.0,15206865.0,0.742079,0.816562,True,0.054471,0.68998,-0.040421,0.183347,0.037584,95.238095,94.252874,7.619048,6.666667,68.571429,97.142857,72.380952,29.52381,57.173727,93.333333,93.33,8,PULLBACK_IN_UPTREND
COHR,2026-05-29,361.470001,-0.041066,-0.04373,0.130618,0.315106,1.038173,363.476004,308.118835,-0.107349,-0.107349,5364420.0,6472735.0,0.828772,0.767317,True,0.04373,0.676639,-0.036242,0.151079,0.02959,94.285714,91.954023,21.904762,7.619048,66.666667,96.190476,70.47619,40.0,56.706076,92.380952,92.38,9,PULLBACK_IN_UPTREND
CIEN,2026-05-29,580.22998,0.017626,-0.01192,0.099795,0.688924,1.964441,564.591,474.413167,-0.036787,-0.036787,2091320.0,1974290.0,1.059277,0.599256,True,0.01192,1.326683,-0.012627,0.048707,0.015815,86.666667,58.62069,65.714286,14.285714,85.714286,92.380952,55.238095,66.666667,56.020361,91.428571,91.43,10,NEUTRAL_SHADOW
GEV,2026-05-29,968.320007,-0.027791,-0.07233,-0.106271,0.151718,0.541255,1049.102484,972.216329,-0.134625,-0.157638,2779640.0,2319315.0,1.198475,0.435516,False,0.07233,0.346486,-0.086686,,0.025062,97.142857,,84.761905,2.857143,40.952381,95.238095,27.619048,17.142857,55.190476,90.47619,90.48,11,NEUTRAL_SHADOW
INTC,2026-05-29,114.68,-0.051369,-0.032236,0.213802,1.516016,1.831605,115.1635,76.301167,-0.11403,-0.11403,114525320.0,142049910.0,0.806233,0.907712,True,0.032236,1.67381,-0.02599,0.146266,0.053957,92.380952,89.655172,16.190476,8.571429,92.380952,98.095238,78.095238,90.47619,54.600328,89.52381,89.52,12,PULLBACK_IN_UPTREND
KEYS,2026-05-29,338.329987,-0.002359,0.002311,-0.033094,0.124319,0.618262,351.655995,321.309663,-0.077315,-0.077315,1985080.0,1753800.0,1.131874,0.313961,True,-0.002311,0.37129,0.002615,0.077315,0.0,80.952381,77.011494,74.285714,20.0,41.904762,41.904762,13.333333,14.285714,53.913957,88.571429,88.57,13,NEUTRAL_SHADOW
PWR,2026-05-29,711.72998,-0.025161,-0.007225,-0.02204,0.252454,0.531829,746.408997,637.385928,-0.093615,-0.093615,1061560.0,1254390.0,0.846276,0.400961,True,0.007225,0.392141,-0.006115,0.10084,0.002833,83.809524,82.758621,26.666667,17.142857,43.809524,86.666667,22.857143,28.571429,53.730706,87.619048,87.62,14,PULLBACK_IN_UPTREND
GOOGL,2026-05-29,380.339996,-0.025094,-0.018883,-0.01159,0.255592,0.199095,391.149001,340.496972,-0.055338,-0.055338,27997860.0,27340890.0,1.024029,0.259916,True,0.018883,0.227344,-0.019336,0.07422,0.004293,88.571429,73.563218,60.952381,13.333333,26.666667,88.571429,10.47619,30.47619,53.307718,86.666667,86.67,15,NEUTRAL_SHADOW
