ticker,shadow_rank,in_shadow_top30,in_official_review,overlap
LITE,1,YES,NO,NO
BE,2,YES,NO,NO
FIX,3,YES,NO,NO
VRT,4,YES,NO,NO
NVDA,5,YES,NO,NO
FN,6,YES,NO,NO
FORM,7,YES,NO,NO
GLW,8,YES,NO,NO
COHR,9,YES,NO,NO
CIEN,10,YES,NO,NO
GEV,11,YES,NO,NO
INTC,12,YES,NO,NO
KEYS,13,YES,NO,NO
PWR,14,YES,NO,NO
GOOGL,15,YES,NO,NO
TXN,16,YES,NO,NO
ICHR,17,YES,NO,NO
ACMR,18,YES,NO,NO
ACLS,19,YES,NO,NO
AMKR,20,YES,NO,NO
D,21,YES,NO,NO
AEHR,22,YES,NO,NO
CARR,23,YES,NO,NO
KLIC,24,YES,NO,NO
MOD,25,YES,NO,NO
COHU,26,YES,NO,NO
MPWR,27,YES,NO,NO
MRVL,28,YES,NO,NO
MCHP,29,YES,NO,NO
VECO,30,YES,NO,NO
DELL,63,NO,YES,NO
ARM,90,NO,YES,NO
QCOM,99,NO,YES,NO
SNOW,103,NO,YES,NO
CRWV,38,NO,YES,NO
NET,96,NO,YES,NO
ANET,62,NO,YES,NO
VST,68,NO,YES,NO
FLR,95,NO,YES,NO
ZS,66,NO,YES,NO
