snapshot_run_date,snapshot_price_date,ticker,latest_close,rank_overall,composite_score,group_factor_top10,group_factor_top30,group_official_review,group_factor_pack_overlap,group_v18_3c_overlap,selected_factor,official_final_action,buy_permission,official_decision_impact,promotion_action,return_1obs_pct,target_price_date_1obs,target_close_1obs,status_1obs,return_3obs_pct,target_price_date_3obs,target_close_3obs,status_3obs,return_5obs_pct,target_price_date_5obs,target_close_5obs,status_5obs,return_10obs_pct,target_price_date_10obs,target_close_10obs,status_10obs,return_20obs_pct,target_price_date_20obs,target_close_20obs,status_20obs
2026-05-27,2026-05-26,SMCI,37.099998,1,0.952381,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,CIFR,23.020000,2,1.904762,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,DDOG,223.649994,3,2.857143,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,QCOM,248.820007,4,3.809524,TRUE,TRUE,TRUE,FALSE,TRUE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,VECO,62.480000,5,4.761905,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,NXPI,332.670013,6,5.714286,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,SANM,259.970001,7,6.666667,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,CORZ,26.370001,8,7.619048,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,IYW,247.419998,9,8.571429,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
2026-05-27,2026-05-26,AEHR,109.919998,10,9.52381,TRUE,TRUE,FALSE,FALSE,FALSE,F002,BUY_CANDIDATES_REQUIRE_MANUAL_CONFIRMATION,UNKNOWN,NONE,NONE,,,,,,,,,,,,,,,,,,,,
