checked_path,file_exists,modified_before_run,modified_after_run,modified_by_this_run,protection_status,notes
D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,2026-05-20T15:13:48,2026-05-20T15:13:48,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\candidates\V18_14C_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,TRUE,2026-05-20T15:13:46,2026-05-20T15:13:46,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,TRUE,2026-05-20T15:13:48,2026-05-20T15:13:48,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER.csv,TRUE,2026-05-18T21:39:51,2026-05-18T21:39:51,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_SIM_CANDIDATE_TRACKER_TODAY.csv,TRUE,2026-05-18T21:39:51,2026-05-18T21:39:51,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\forward_outcome\V18_4A_CURRENT_FACTOR_SNAPSHOT.csv,TRUE,2026-05-19T10:53:52,2026-05-19T10:53:52,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\factor_research\V18_10B_R1_CURRENT_FORWARD_RETURN_MATURITY.csv,TRUE,2026-05-18T13:14:32,2026-05-18T13:14:32,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\factor_research\V18_10B_CURRENT_FACTOR_EFFECTIVENESS.csv,TRUE,2026-05-18T13:14:33,2026-05-18T13:14:33,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\technical_timing_forward\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_SUMMARY.csv,TRUE,2026-05-16T01:01:27,2026-05-16T01:01:27,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\sell_timing\V18_CURRENT_EXIT_SIGNAL_FORWARD_TRACKER.csv,TRUE,2026-05-18T16:10:49,2026-05-18T16:10:49,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_R1_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,2026-05-20T16:51:23,2026-05-20T16:51:23,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\signal_snapshots\V18_21B_CURRENT_SIGNAL_SNAPSHOT.csv,TRUE,2026-05-20T16:41:57,2026-05-20T16:41:57,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\simulation\V18_CURRENT_PAPER_POSITIONS.csv,TRUE,2026-05-18T21:39:50,2026-05-18T21:39:50,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\state\v18\price_cache\QQQ.csv,TRUE,2026-05-19T11:56:07,2026-05-19T11:56:07,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\scripts\v18\run_v18_current_daily_command_center.ps1,TRUE,2026-05-19T16:07:21,2026-05-19T16:07:21,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\factor_pack\V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,TRUE,2026-05-19T10:53:51,2026-05-19T10:53:51,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
D:\us-tech-quant\outputs\v18\technical_timing\V18_6A_CURRENT_TECHNICAL_TIMING.csv,TRUE,2026-05-19T10:57:07,2026-05-19T10:57:07,FALSE,OK_NOT_MODIFIED,Protected production/context file; shadow application must not modify it.
