source_path,source_exists,modified_time,parsed_row_count,parsed_ticker_count,has_ticker,has_date,has_close,has_adjusted_close,has_volume,min_date,max_date,usable_for_entry_price,usable_for_outcome_price,source_quality_status,notes
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv,TRUE,2026-05-20T15:13:48,20,20,TRUE,TRUE,FALSE,FALSE,FALSE,2026-05-18,2026-05-18,FALSE,FALSE,UNREADABLE_OR_INVALID,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\candidates\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_AUDIT.csv,TRUE,2026-05-20T15:13:48,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,IRRELEVANT_NO_TICKER_OVERLAP,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\data\V18_16C_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,TRUE,2026-05-20T15:13:38,65,65,TRUE,TRUE,TRUE,FALSE,FALSE,2026-05-15,2026-05-15,TRUE,TRUE,USABLE_LATEST_PRICE_ONLY,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\data\V18_16C_P1_SCOPED_YFINANCE_SMOKE_PRICE_AUDIT.csv,TRUE,2026-05-19T11:47:46,105,105,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,SUMMARY_NOT_PRICE_HISTORY,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\data\V18_16C_P2_YFINANCE_CACHE_REPAIR_PRICE_AUDIT.csv,TRUE,2026-05-19T11:47:46,105,105,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,SUMMARY_NOT_PRICE_HISTORY,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_CACHE_BOOTSTRAP_AUDIT.csv,TRUE,2026-05-19T11:58:00,105,105,TRUE,FALSE,TRUE,FALSE,FALSE,,,FALSE,FALSE,UNREADABLE_OR_INVALID,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\data\V18_16C_P3_LOCAL_PRICE_SOURCE_DISCOVERY.csv,TRUE,2026-05-19T11:57:59,303,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,IRRELEVANT_NO_TICKER_OVERLAP,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\data\V18_CURRENT_SCAN_SCOPED_PRICE_UPDATE_AUDIT.csv,TRUE,2026-05-20T15:13:38,65,65,TRUE,TRUE,TRUE,FALSE,FALSE,2026-05-15,2026-05-15,TRUE,TRUE,USABLE_LATEST_PRICE_ONLY,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\ops\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_INPUT_AUDIT.csv,TRUE,2026-05-20T15:13:48,42,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,IRRELEVANT_NO_TICKER_OVERLAP,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\ops\V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER_SUMMARY.csv,TRUE,2026-05-20T15:13:48,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,IRRELEVANT_NO_TICKER_OVERLAP,Parsed as local-only candidate; no external data fetched.
D:\us-tech-quant\outputs\v18\price_factors\V18_21A_CURRENT_PRICE_DERIVED_FACTORS.csv,TRUE,2026-05-20T16:06:30,325,325,TRUE,FALSE,TRUE,FALSE,FALSE,,,FALSE,FALSE,UNREADABLE_OR_INVALID,Parsed as local-only candidate; no external data fetched.
