"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"1","KEYS","TRUE","57.456",,,"2026-05-26","2026-05-29","338.33","2026-05-28","339.13","-0.24","LATEST_PRICE_OK"
"2","VRT","TRUE","57.4",,,"2026-05-26","2026-05-29","315.71","2026-05-28","314.18","0.49","LATEST_PRICE_OK"
"3","ICHR","TRUE","56.64",,,"2026-05-26","2026-05-29","71.52","2026-05-28","70.15","1.95","LATEST_PRICE_OK"
"4","NVDA","TRUE","54.62",,,"2026-05-26","2026-05-29","211.14","2026-05-28","214.25","-1.45","LATEST_PRICE_OK"
"5","D","TRUE","53.916",,,"2026-05-26","2026-05-29","66.94","2026-05-28","67.38","-0.65","LATEST_PRICE_OK"
"6","AMKR","TRUE","53.592",,,"2026-05-26","2026-05-29","69.56","2026-05-28","70.58","-1.45","LATEST_PRICE_OK"
"7","GOOGL","TRUE","53.476",,,"2026-05-26","2026-05-29","380.34","2026-05-28","390.13","-2.51","LATEST_PRICE_OK"
"8","FIX","TRUE","53.096",,,"2026-05-26","2026-05-29","1828.21","2026-05-28","1855.15","-1.45","LATEST_PRICE_OK"
"9","MCHP","TRUE","52.448",,,"2026-05-26","2026-05-29","94.65","2026-05-28","96.04","-1.45","LATEST_PRICE_OK"
"10","LITE","TRUE","52.332",,,"2026-05-26","2026-05-29","854.96","2026-05-28","860.62","-0.66","LATEST_PRICE_OK"
"11","VIAV","FALSE","51.800559",,,"2026-05-21","2026-05-29","48.56","2026-05-28","48.49","0.14","LATEST_PRICE_OK"
"12","CARR","TRUE","51.684",,,"2026-05-26","2026-05-29","63.87","2026-05-28","63.81","0.09","LATEST_PRICE_OK"
"13","ENTG","TRUE","51.572",,,"2026-05-26","2026-05-29","138.79","2026-05-28","138.44","0.25","LATEST_PRICE_OK"
"14","SITM","FALSE","51.403528",,,"2026-05-21","2026-05-29","710.2","2026-05-28","729.51","-2.65","LATEST_PRICE_OK"
"15","CRWV","TRUE","50.924",,,"2026-05-26","2026-05-29","109.53","2026-05-28","106.86","2.5","LATEST_PRICE_OK"
"16","ETR","TRUE","50.544",,,"2026-05-26","2026-05-29","109.05","2026-05-28","109.62","-0.52","LATEST_PRICE_OK"
"17","TSEM","FALSE","50.428133",,,"2026-05-21","2026-05-29","255.23","2026-05-28","275.5","-7.36","LATEST_PRICE_OK"
"18","COHU","TRUE","50.428",,,"2026-05-26","2026-05-29","52.75","2026-05-28","54.05","-2.41","LATEST_PRICE_OK"
"19","HUT","FALSE","49.710963",,,"2026-05-20","2026-05-29","124.83","2026-05-28","124.24","0.47","LATEST_PRICE_OK"
"20","GEV","TRUE","49.668",,,"2026-05-26","2026-05-29","968.32","2026-05-28","996","-2.78","LATEST_PRICE_OK"
"21","STM","FALSE","49.556907",,,"2026-05-21","2026-05-29","69.31","2026-05-28","69.45","-0.2","LATEST_PRICE_OK"
"22","FN","TRUE","48.952",,,"2026-05-26","2026-05-29","654.16","2026-05-28","667.95","-2.06","LATEST_PRICE_OK"
"23","ETN","TRUE","48.904",,,"2026-05-26","2026-05-29","400.6","2026-05-28","401.94","-0.33","LATEST_PRICE_OK"
"24","HUBB","TRUE","48.152",,,"2026-05-26","2026-05-29","473.61","2026-05-28","473.93","-0.07","LATEST_PRICE_OK"
"25","ALM","FALSE","48.055596",,,"2026-05-20","2026-05-29","19.66","2026-05-28","20.7","-5.02","LATEST_PRICE_OK"
"26","POWL","TRUE","47.876",,,"2026-05-26","2026-05-29","284.42","2026-05-28","288.9","-1.55","LATEST_PRICE_OK"
"27","COHR","FALSE","47.76",,,"2026-05-26","2026-05-29","361.47","2026-05-28","376.95","-4.11","LATEST_PRICE_OK"
"28","BW","FALSE","47.5212",,,"2026-05-21","2026-05-29","18.45","2026-05-28","19.18","-3.81","LATEST_PRICE_OK"
"29","AVGO","FALSE","47.38",,,"2026-05-26","2026-05-29","446.77","2026-05-28","426.58","4.73","LATEST_PRICE_OK"
