"latest_momentum_rank","ticker","old_rank","composite_candidate_score","latest_price_date","latest_close","previous_price_date","previous_close","one_day_change_pct","latest_price_source","latest_price_purity"
"1","STG","287","22.577206","2026-05-29","6.14","2026-05-28","2.72","125.74","FORCE_YFINANCE_LATEST","TRUE"
"2","DELL","184","30.032","2026-05-29","420.91","2026-05-28","317.05","32.76","FORCE_YFINANCE_LATEST","TRUE"
"3","OKTA","268","24.77958","2026-05-29","123.27","2026-05-28","94.72","30.14","FORCE_YFINANCE_LATEST","TRUE"
"4","NTAP","101","35.416","2026-05-29","174.29","2026-05-28","142.4","22.39","FORCE_YFINANCE_LATEST","TRUE"
"5","TEAM","231","27.925391","2026-05-29","107.61","2026-05-28","93.29","15.35","FORCE_YFINANCE_LATEST","TRUE"
"6","NOW","151","31.808","2026-05-29","124.37","2026-05-28","108.73","14.38","FORCE_YFINANCE_LATEST","TRUE"
"7","HPE","288","22.404","2026-05-29","43.04","2026-05-28","38.21","12.64","FORCE_YFINANCE_LATEST","TRUE"
"8","WDAY","260","25.641569","2026-05-29","146.19","2026-05-28","130.01","12.45","FORCE_YFINANCE_LATEST","TRUE"
"9","SMCI","314","12.38","2026-05-29","46.09","2026-05-28","41.3","11.6","FORCE_YFINANCE_LATEST","TRUE"
"10","HOOD","252","26.689519","2026-05-29","94.3","2026-05-28","84.84","11.15","FORCE_YFINANCE_LATEST","TRUE"
"11","HUBS","265","24.965966","2026-05-29","220.63","2026-05-28","198.8","10.98","FORCE_YFINANCE_LATEST","TRUE"
"12","ORCL","298","20.332","2026-05-29","225.78","2026-05-28","203.7","10.84","FORCE_YFINANCE_LATEST","TRUE"
"13","DDOG","318","8.644","2026-05-29","247.35","2026-05-28","225.24","9.82","FORCE_YFINANCE_LATEST","TRUE"
"14","CLS","67","38.62","2026-05-29","385.39","2026-05-28","351.02","9.79","FORCE_YFINANCE_LATEST","TRUE"
"15","AMC","195","29.608772","2026-05-29","1.73","2026-05-28","1.58","9.49","FORCE_YFINANCE_LATEST","TRUE"
"16","PANW","90","36.072","2026-05-29","281.69","2026-05-28","257.77","9.28","FORCE_YFINANCE_LATEST","TRUE"
"17","PLTR","290","22.24","2026-05-29","156.54","2026-05-28","143.34","9.21","FORCE_YFINANCE_LATEST","TRUE"
"18","AEVA","58","40.096142","2026-05-29","28.18","2026-05-28","25.84","9.06","FORCE_YFINANCE_LATEST","TRUE"
"19","CRWD","225","28.072","2026-05-29","731","2026-05-28","671","8.94","FORCE_YFINANCE_LATEST","TRUE"
"20","PSTG","206","29.144","2026-05-29","79.51","2026-05-28","73.04","8.86","FORCE_YFINANCE_LATEST","TRUE"
