metric,value
STATUS,OK_V18_14B_CURRENT_DAILY_COMMAND_CENTER_REFRESH_READY
RUN_MODE,READ_CENTER_REFRESH_ONLY
OFFICIAL_DAILY_STATUS,SKIPPED
V18_13A_STATUS,OK_V18_13A_UNIFIED_DAILY_READ_CENTER_READY
V18_13B_STATUS,OK_V18_13B_RANKED_CANDIDATE_READ_CENTER_READY
V18_13C_STATUS,OK_V18_13C_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_READY
V18_14A_STATUS,FAIL_V18_14A_FULL_DAILY_MODE_VALIDATION
FULL_DAILY_MODE_STATUS,NOT_FULL_DAILY_REFRESH_ONLY
RANK_SOURCE_STATUS,OK_SCORE_SOURCE_FOUND
SECOND_STAGE_COUNT,20
SCORED_TICKER_COUNT,20
UNSCORED_TICKER_COUNT,0
TOP_5_TICKERS,"APH,ACM,CAMT,ASML,CEG"
TODAY_MAIN_READ,outputs/v18/read_center/V18_CURRENT_DAILY_COMMAND_CENTER.md
TODAY_RANKED_CANDIDATES_CSV,outputs/v18/candidates/V18_CURRENT_TOP_RANKED_CANDIDATES.csv
OFFICIAL_DECISION_IMPACT,NONE
AUTO_TRADE,DISABLED
AUTO_SELL,DISABLED
READ_ONLY,TRUE
CURRENT_ENTRY_ONLY,TRUE
VALIDATION_FAIL_COUNT,0
FAIL_REASONS,NONE
DANGEROUS_TOKEN_DETECTED,NO
DANGEROUS_TOKEN_HITS,NONE
READ_FIRST,outputs/v18/ops/V18_14B_READ_FIRST.txt
