path,item_type,size_mb,reason,reference_count,referenced_by_sample,current_alias_related,stable_snapshot_related,manual_state_related,price_cache_related,source_code_related,generated_output_related
archive/stable_compressed/V18_8E_R3_stable_current_official_daily_with_simulation_20260516_191846.zip,FILE,90.3826,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/stable_compressed/V18_7D_R2_stable_fast_official_daily_with_technical_20260516_174922.zip,FILE,90.2813,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/stable_compressed/V18_6F_R2_stable_official_daily_with_technical_20260516_025712.zip,FILE,89.4992,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/generated_outputs_compressed/technical_timing_backtest_current_details/V18_6B_R1_CURRENT_TECHNICAL_TIMING_DIAGNOSTIC_DETAIL.csv_20260519_151425.zip,FILE,62.0636,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/generated_outputs_compressed/technical_timing_backtest_current_details/V18_6B_R1_CURRENT_TECHNICAL_TIMING_DIAGNOSTIC_DETAIL.csv_20260519_152439.zip,FILE,62.0636,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/generated_outputs_compressed/technical_timing_backtest_current_details/V18_6B_CURRENT_TECHNICAL_TIMING_BACKTEST_DETAIL.csv_20260519_151422.zip,FILE,26.3893,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/generated_outputs_compressed/technical_timing_backtest_current_details/V18_6B_CURRENT_TECHNICAL_TIMING_BACKTEST_DETAIL.csv_20260519_152433.zip,FILE,26.3893,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
outputs/v18/factor_backtest/V18_4H_CURRENT_FACTOR_BACKTEST_HOLDINGS.csv,FILE,2.404,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/stable_compressed/V18_4J_R2_stable_final_daily_read_center_20260515_164730.zip,FILE,1.7958,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/stable_compressed/V18_10D_R2_stable_current_shadow_research_daily_20260517_020553.zip,FILE,1.3655,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/stable_compressed/V18_10D_R1_stable_official_daily_with_factor_weight_research_20260517_015842.zip,FILE,1.3413,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
outputs/v18/technical_timing_backtest/V18_6B_CURRENT_TECHNICAL_TOPN_BACKTEST_MATRIX.csv,FILE,1.317,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/stable_compressed/V18_10C_R2_stable_factor_weight_research_chain_20260517_012209.zip,FILE,1.2458,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
