"ticker","calculation_status","failure_bucket","failure_reason","price_data_source","evidence_sources"
"0","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/0.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"105","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/105.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"20","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/20.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"250","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/250.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"252","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/252.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"303","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/303.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"318","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/318.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"325","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/325.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"CDTX","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/CDTX.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"CFLT","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/CFLT.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"COG","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/COG.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"JFROG","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/JFROG.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"MPW","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/MPW.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"TICKER","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/TICKER.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
"TICKERS","CALCULATION_FAILED","PRICE_DATA_UNAVAILABLE","price cache file missing","state/v18/price_cache/TICKERS.csv","state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv"
