ticker,exclusion_reason,in_universe_before,in_current_full_candidates,in_current_top_candidates,in_latest_freeze,in_remaining_uncomputed,action_preview,action_applied,active_universe_after,validation_status,evidence_sources
0,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
105,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
20,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
250,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
252,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
303,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
318,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
325,INVALID_NUMERIC_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
TICKER,INVALID_HEADER_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
TICKERS,INVALID_HEADER_TOKEN,TRUE,FALSE,FALSE,FALSE,TRUE,REMOVE_FROM_ACTIVE_UNIVERSE_AND_MARK_ROLLING_LEDGER_EXCLUDED,TRUE,FALSE,PASS,state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv;outputs/v18/candidates/V18_35E_REMAINING_UNCOMPUTED_TICKERS.csv
