input_name,path,exists,row_count,modified_time,parse_status,role,trust_label
primary_ranking,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,TRUE,318,2026-05-25T13:40:27,OK,OFFICIAL_RANKING_INPUT,HIGH
factor_pack,outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv,TRUE,252,2026-05-23T01:57:24,OK,SUPPORTING_CONTEXT,MEDIUM
technical_timing,outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv,TRUE,252,2026-05-23T01:57:24,OK,SUPPORTING_CONTEXT,MEDIUM
kdj_macd_shadow,outputs/v18/technical_timing/V18_40A_KDJ_MACD_SHADOW_SIGNALS.csv,TRUE,318,2026-05-27T13:15:39,OK,SHADOW_ONLY,MEDIUM
v18_41a_summary,outputs/v18/ops/V18_41A_DAILY_CLEAN_OPERATOR_PIPELINE_SUMMARY.csv,TRUE,1,2026-05-27T14:30:02,OK,PROVENANCE_ONLY,MEDIUM
v18_41a_read_first,outputs/v18/ops/V18_41A_READ_FIRST.txt,TRUE,,2026-05-27T14:30:02,OK,PROVENANCE_ONLY,MEDIUM
clean_operator_status,outputs/v18/read_center/V18_CURRENT_DAILY_CLEAN_OPERATOR_STATUS.md,TRUE,,2026-05-27T14:30:02,OK,PROVENANCE_ONLY,MEDIUM
daily_brief,outputs/v18/read_center/V18_CURRENT_DAILY_BRIEF.md,TRUE,,2026-05-27T17:03:36,OK,PROVENANCE_ONLY,MEDIUM
top_ranked_candidates_md,outputs/v18/read_center/V18_CURRENT_TOP_RANKED_CANDIDATES.md,FALSE,,,MISSING_OPTIONAL,PROVENANCE_ONLY,LOW
signal_freeze_ledger,state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv,TRUE,888,2026-05-27T17:03:37,OK,SUPPORTING_CONTEXT,MEDIUM
