"RelPath","Category","GroupKey","RankNewestFirst","KeepCount","Decision","Status","SizeBytes","LastWriteTime","Sha256"
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_235628.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.csv","1","3","KEEP_RETENTION_LATEST","KEPT","43188","2026/5/15 23:56:35",""
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_235618.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.csv","2","3","KEEP_RETENTION_LATEST","KEPT","41788","2026/5/15 23:56:26",""
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_234101.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.csv","3","3","KEEP_RETENTION_LATEST","KEPT","73338","2026/5/15 23:41:08",""
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_234047.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.csv","4","3","DRYRUN_WOULD_DELETE","DRYRUN","71938","2026/5/15 23:40:59","42533BE84E3637E070965449E5C49BE2EB4F43A13CFB8C796D44AE90AD7D448D"
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_192054.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.csv","5","3","DRYRUN_WOULD_DELETE","DRYRUN","68144","2026/5/15 19:21:00","B51BFE2C578A0D59EAB3DD9635C2149D2350A890161E14202EC46151CDA0D937"
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_235628.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.md","1","3","KEEP_RETENTION_LATEST","KEPT","3755","2026/5/15 23:56:35",""
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_235618.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.md","2","3","KEEP_RETENTION_LATEST","KEPT","3755","2026/5/15 23:56:26",""
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_234101.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.md","3","3","KEEP_RETENTION_LATEST","KEPT","3755","2026/5/15 23:41:08",""
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_234047.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.md","4","3","DRYRUN_WOULD_DELETE","DRYRUN","3755","2026/5/15 23:40:59","D7D8A32F4033B1216F2DA18C33D51FA6DF7DC9B989ADB79B77CB6A8D72C20164"
"outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_20260515_192054.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4D_FACTOR_PACK_AUDIT_TIMESTAMP.md","5","3","DRYRUN_WOULD_DELETE","DRYRUN","3755","2026/5/15 19:21:00","A79C1E7219C9F60048CB20BA7183D8096165DCF39E2AB1E62476208001B2E82F"
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_235626.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.csv","1","3","KEEP_RETENTION_LATEST","KEPT","42180","2026/5/15 23:56:45",""
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_234059.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.csv","2","3","KEEP_RETENTION_LATEST","KEPT","75816","2026/5/15 23:41:24",""
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_192053.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.csv","3","3","KEEP_RETENTION_LATEST","KEPT","69720","2026/5/15 19:21:13",""
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_184050.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.csv","4","3","DRYRUN_WOULD_DELETE","DRYRUN","63619","2026/5/15 18:41:06","1C4A1D37832FEDBE3A3F20EF2B1FC2FEE23D932001A5123058F6FDCA0A1CF957"
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_235626.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.md","1","3","KEEP_RETENTION_LATEST","KEPT","3822","2026/5/15 23:56:45",""
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_234059.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.md","2","3","KEEP_RETENTION_LATEST","KEPT","3822","2026/5/15 23:41:24",""
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_192053.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.md","3","3","KEEP_RETENTION_LATEST","KEPT","3822","2026/5/15 19:21:13",""
"outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260515_184050.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_TIMESTAMP.md","4","3","DRYRUN_WOULD_DELETE","DRYRUN","3822","2026/5/15 18:41:06","FC23A8CE747AD5F66FC2F3F409919860B52312DAFE742DE27D9767527CD0E837"
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_235646.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.csv","1","3","KEEP_RETENTION_LATEST","KEPT","23046","2026/5/15 23:56:48",""
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_234124.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.csv","2","3","KEEP_RETENTION_LATEST","KEPT","39906","2026/5/15 23:41:27",""
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_192113.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.csv","3","3","KEEP_RETENTION_LATEST","KEPT","36534","2026/5/15 19:21:15",""
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_184107.csv","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.csv","4","3","DRYRUN_WOULD_DELETE","DRYRUN","33162","2026/5/15 18:41:09","5F0F25123EB16C5A96DDE3BF7BA9476F3EB80220B716BED694CB3F13A2737F8F"
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_235646.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.md","1","3","KEEP_RETENTION_LATEST","KEPT","1675","2026/5/15 23:56:48",""
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_234124.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.md","2","3","KEEP_RETENTION_LATEST","KEPT","1670","2026/5/15 23:41:27",""
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_192113.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.md","3","3","KEEP_RETENTION_LATEST","KEPT","1670","2026/5/15 19:21:15",""
"outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_20260515_184107.md","OUTPUTS_V18_TIMESTAMP_OUTPUT","outputs\v18\factor_audit\V18_4F_FORWARD_FACTOR_COVERAGE_TIMESTAMP.md","4","3","DRYRUN_WOULD_DELETE","DRYRUN","1670","2026/5/15 18:41:09","8E44CF10E14F5F04184B530003641A5E24D80462F80EB4D4FFDB1EC54EF2E22F"
"outputs\v18\ops\V18_3C_R1_upstream_20260514_131320.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3C_R1_upstream_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","5054","2026/5/14 13:13:32",""
"outputs\v18\ops\V18_3C_R1_upstream_20260513_194945.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3C_R1_upstream_TIMESTAMP.log","2","10","KEEP_RETENTION_LATEST","KEPT","5054","2026/5/13 19:49:57",""
"outputs\v18\ops\V18_3C_R1_upstream_20260513_194855.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3C_R1_upstream_TIMESTAMP.log","3","10","KEEP_RETENTION_LATEST","KEPT","5054","2026/5/13 19:49:05",""
"outputs\v18\ops\V18_3D_official_v17_8D_20260513_195758.log","OUTPUTS_V18_LOG","outputs\v18\ops\V18_3D_official_v17_8D_TIMESTAMP.log","1","10","KEEP_RETENTION_LATEST","KEPT","548","2026/5/13 19:58:00",""
