file_key,path,exists,role,required_level,parse_status,row_count,modified_time,notes
v18_41a_read_first,outputs/v18/ops/V18_41A_READ_FIRST.txt,TRUE,V18.41A pipeline READ_FIRST,CORE,OK,,2026-05-27T23:41:54,
daily_clean_status,outputs/v18/read_center/V18_CURRENT_DAILY_CLEAN_OPERATOR_STATUS.md,TRUE,current daily clean operator status,CORE,OK,,2026-05-27T23:41:54,
topn_read_first,outputs/v18/ops/V18_CURRENT_TOPN_RANKING_EXPLAINER_READ_FIRST.txt,TRUE,TopN explainer READ_FIRST,IMPORTANT,OK,,2026-05-27T17:03:41,
topn_packet,outputs/v18/read_center/V18_CURRENT_TOPN_RANKING_EXPLAINER_PACKET.md,TRUE,TopN explainer packet,IMPORTANT,OK,,2026-05-27T17:03:41,
topn_summary,outputs/v18/ops/V18_CURRENT_TOPN_RANKING_EXPLAINER_SUMMARY.csv,TRUE,TopN summary csv,IMPORTANT,OK,1,2026-05-27T17:03:41,
topn_close_gaps,outputs/v18/ops/V18_CURRENT_TOPN_CLOSE_RANK_GAPS.csv,TRUE,TopN close rank gaps,IMPORTANT,OK,10,2026-05-27T17:03:41,
topn_driver_matrix,outputs/v18/ops/V18_CURRENT_TOPN_RANKING_DRIVER_MATRIX.csv,TRUE,TopN driver matrix,IMPORTANT,OK,200,2026-05-27T17:03:41,
single_read_first,outputs/v18/ops/V18_42A_READ_FIRST.txt,TRUE,single ticker READ_FIRST,IMPORTANT,OK,,2026-05-27T17:03:41,
single_report,outputs/v18/read_center/V18_CURRENT_SINGLE_TICKER_RANKING_EXPLAINER.md,TRUE,single ticker report,IMPORTANT,OK,,2026-05-27T17:03:41,
single_summary,outputs/v18/ops/V18_CURRENT_SINGLE_TICKER_RANKING_EXPLAINER_SUMMARY.csv,TRUE,single ticker summary csv,IMPORTANT,OK,1,2026-05-27T17:03:41,
single_attribution,outputs/v18/ops/V18_CURRENT_SINGLE_TICKER_RANKING_ATTRIBUTION.csv,TRUE,single ticker attribution,IMPORTANT,OK,63,2026-05-27T17:03:41,
single_neighbors,outputs/v18/ops/V18_CURRENT_SINGLE_TICKER_NEIGHBOR_COMPARISON.csv,TRUE,single ticker neighbor comparison,IMPORTANT,OK,4,2026-05-27T17:03:41,
old_chinese_homepage,outputs/v18/read_center/V18_CURRENT_CHINESE_DAILY_HOMEPAGE.md,TRUE,older Chinese homepage V18.33A,OPTIONAL,OK,,2026-05-27T22:58:24,
daily_brief,outputs/v18/read_center/V18_CURRENT_DAILY_BRIEF.md,TRUE,current daily brief,OPTIONAL,OK,,2026-05-27T23:41:54,
portfolio_target_preview,outputs/v18/read_center/V18_CURRENT_PORTFOLIO_TARGET_PREVIEW.md,TRUE,portfolio target preview,OPTIONAL,OK,,2026-05-27T17:52:29,
shadow_risk_model_preview,outputs/v18/read_center/V18_CURRENT_SHADOW_RISK_MODEL_PREVIEW.md,TRUE,shadow risk model preview,OPTIONAL,OK,,2026-05-27T17:52:30,
operator_clean_status,outputs/v18/read_center/V18_CURRENT_OPERATOR_CLEAN_STATUS.md,TRUE,operator clean status,OPTIONAL,OK,,2026-05-27T17:52:31,
fixable_warning_reducer,outputs/v18/read_center/V18_CURRENT_FIXABLE_WARNING_REDUCER.md,TRUE,fixable warning reducer,OPTIONAL,OK,,2026-05-27T17:52:32,
residual_action_warning_resolver,outputs/v18/read_center/V18_CURRENT_RESIDUAL_ACTION_WARNING_RESOLVER.md,TRUE,residual action warning resolver,OPTIONAL,OK,,2026-05-27T21:35:11,
alpha_signal_objects,outputs/v18/read_center/V18_CURRENT_ALPHA_SIGNAL_OBJECTS.md,TRUE,alpha signal objects,OPTIONAL,OK,,2026-05-27T17:52:29,
candidate_top_full_sync,outputs/v18/read_center/V18_CURRENT_CANDIDATE_TOP_FULL_CANONICAL_SYNC.md,TRUE,candidate top/full canonical sync,OPTIONAL,OK,,2026-05-27T23:41:53,
ranked_candidate_freshness,outputs/v18/ops/V18_CURRENT_RANKED_CANDIDATE_FRESHNESS_READ_FIRST.txt,TRUE,ranked candidate freshness audit,IMPORTANT,OK,,2026-05-27T23:41:53,
