stable_folder_path,stable_folder_name,folder_size_mb,matching_zip_path,zip_exists,zip_size_mb,zip_verified,is_latest_5_protected,is_v18_16g_r1_protected,delete_candidate,apply,deleted,delete_error,safety_status,notes
D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357,V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357,25.556,D:\us-tech-quant\archive\stable_compressed\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357.zip,FALSE,0.000,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,PROTECTED_OR_NOT_VERIFIED,ZIP_MISSING
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110803,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110803,0.405,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110803.zip,FALSE,0.000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,PROTECTED_OR_NOT_VERIFIED,ZIP_MISSING
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110651,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110651,0.405,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110651.zip,FALSE,0.000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,PROTECTED_OR_NOT_VERIFIED,ZIP_MISSING
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110537,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110537,0.407,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110537.zip,FALSE,0.000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,PROTECTED_OR_NOT_VERIFIED,ZIP_MISSING
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110402,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110402,0.407,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110402.zip,FALSE,0.000,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,PROTECTED_OR_NOT_VERIFIED,ZIP_MISSING
D:\us-tech-quant\archive\stable\V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126,V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126,0.100,D:\us-tech-quant\archive\stable_compressed\V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126.zip,TRUE,0.026,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221,V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221,0.151,D:\us-tech-quant\archive\stable_compressed\V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221.zip,TRUE,0.046,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032,V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032,0.175,D:\us-tech-quant\archive\stable_compressed\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032.zip,TRUE,0.038,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007,V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007,0.176,D:\us-tech-quant\archive\stable_compressed\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007.zip,TRUE,0.039,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241,V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241,0.115,D:\us-tech-quant\archive\stable_compressed\V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241.zip,TRUE,0.029,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
D:\us-tech-quant\archive\stable\V18_14B_R1_stable_current_daily_command_center_20260518_230007,V18_14B_R1_stable_current_daily_command_center_20260518_230007,0.123,D:\us-tech-quant\archive\stable_compressed\V18_14B_R1_stable_current_daily_command_center_20260518_230007.zip,TRUE,0.032,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,DELETE_VERIFIED_CANDIDATE,ZIP_VERIFIED
