folder_path,folder_name,inferred_version,created_or_modified_time,total_size_mb,file_count,has_manifest,has_validation,has_readme,has_restore_script,is_latest_snapshot,keep_uncompressed,compression_candidate,proposed_zip_path,proposed_action,estimated_zip_size_mb,estimated_savings_mb,safety_status,notes
D:\us-tech-quant\archive\stable\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357,V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357,V18_16G_R1,2026-05-19T12:25:23,25.556,179,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,D:\us-tech-quant\archive\stable_compressed\V18_16G_R1_stable_run_triggered_rolling_universe_scan_20260519_122357.zip,KEEP_UNCOMPRESSED,14.056,11.500,PROTECTED_KEEP_SET,
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110803,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110803,V18_15B_R1,2026-05-19T11:08:55,0.405,41,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110803.zip,KEEP_UNCOMPRESSED,0.222,0.182,PROTECTED_KEEP_SET,
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110651,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110651,V18_15B_R1,2026-05-19T11:07:35,0.405,41,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110651.zip,KEEP_UNCOMPRESSED,0.223,0.182,PROTECTED_KEEP_SET,
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110537,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110537,V18_15B_R1,2026-05-19T11:06:29,0.407,41,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110537.zip,KEEP_UNCOMPRESSED,0.224,0.183,PROTECTED_KEEP_SET,
D:\us-tech-quant\archive\stable\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110402,V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110402,V18_15B_R1,2026-05-19T11:05:00,0.407,41,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,D:\us-tech-quant\archive\stable_compressed\V18_15B_R1_stable_current_daily_forward_tracker_manual_feedback_predev_audited_20260519_110402.zip,KEEP_UNCOMPRESSED,0.224,0.183,PROTECTED_KEEP_SET,
D:\us-tech-quant\archive\stable\V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126,V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126,V18_15A_R1,2026-05-18T23:51:27,0.100,21,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_15A_R1_stable_manual_position_trade_feedback_20260518_235126.zip,COMPRESS_TO_ZIP,0.055,0.045,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221,V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221,V18_14E_R1,2026-05-18T23:42:22,0.151,26,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_14E_R1_stable_current_daily_with_forward_tracker_20260518_234221.zip,COMPRESS_TO_ZIP,0.083,0.068,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032,V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032,V18_14D_R1,2026-05-18T23:30:33,0.175,22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233032.zip,COMPRESS_TO_ZIP,0.096,0.079,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007,V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007,V18_14D_R1,2026-05-18T23:30:08,0.176,22,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_14D_R1_stable_ranked_candidate_forward_price_filler_20260518_233007.zip,COMPRESS_TO_ZIP,0.097,0.079,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241,V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241,V18_14C_R1,2026-05-18T23:12:42,0.115,19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_14C_R1_stable_ranked_candidate_forward_tracker_20260518_231241.zip,COMPRESS_TO_ZIP,0.063,0.052,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_14B_R1_stable_current_daily_command_center_20260518_230007,V18_14B_R1_stable_current_daily_command_center_20260518_230007,V18_14B_R1,2026-05-18T23:00:08,0.123,23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_14B_R1_stable_current_daily_command_center_20260518_230007.zip,COMPRESS_TO_ZIP,0.068,0.056,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_14A_R1_stable_full_daily_mode_validation_parser_only_20260518_224716,V18_14A_R1_stable_full_daily_mode_validation_parser_only_20260518_224716,V18_14A_R1,2026-05-18T22:47:16,0.081,16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_14A_R1_stable_full_daily_mode_validation_parser_only_20260518_224716.zip,COMPRESS_TO_ZIP,0.044,0.036,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_13D_R1_stable_daily_command_center_read_center_refresh_20260518_211135,V18_13D_R1_stable_daily_command_center_read_center_refresh_20260518_211135,V18_13D_R1,2026-05-18T21:11:42,0.100,18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_13D_R1_stable_daily_command_center_read_center_refresh_20260518_211135.zip,COMPRESS_TO_ZIP,0.055,0.045,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801,V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801,V18_13C_R1,2026-05-18T20:28:02,0.115,18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_13C_R1_stable_unified_daily_with_ranked_candidates_20260518_202801.zip,COMPRESS_TO_ZIP,0.063,0.052,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047,V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047,V18_13B_R1,2026-05-18T18:20:54,0.122,13,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_13B_R1_stable_ranked_candidate_read_center_source_dedup_20260518_182047.zip,COMPRESS_TO_ZIP,0.067,0.055,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003,V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003,V18_13A_R1,2026-05-18T16:40:03,0.045,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_13A_R1_stable_unified_daily_read_center_link_20260518_164003.zip,COMPRESS_TO_ZIP,0.025,0.020,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906,V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906,V18_13A_R1,2026-05-18T16:39:07,0.044,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_13A_R1_stable_unified_daily_read_center_link_20260518_163906.zip,COMPRESS_TO_ZIP,0.024,0.020,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758,V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758,V18_12H_R1,2026-05-18T16:27:59,0.034,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162758.zip,COMPRESS_TO_ZIP,0.019,0.015,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546,V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546,V18_12H_R1,2026-05-18T16:25:47,0.034,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12H_R1_stable_sell_timing_read_center_link_20260518_162546.zip,COMPRESS_TO_ZIP,0.019,0.015,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_161047,V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_161047,V18_12F_R2,2026-05-18T16:10:49,0.044,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_161047.zip,COMPRESS_TO_ZIP,0.024,0.020,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_160834,V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_160834,V18_12F_R2,2026-05-18T16:08:37,0.044,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12F_R2_stable_shadow_research_daily_with_sell_timing_hard_fail_guard_20260518_160834.zip,COMPRESS_TO_ZIP,0.024,0.020,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155450,V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155450,V18_12F_R1,2026-05-18T15:54:53,0.043,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155450.zip,COMPRESS_TO_ZIP,0.024,0.019,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155221,V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155221,V18_12F_R1,2026-05-18T15:52:24,0.043,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12F_R1_stable_shadow_research_daily_with_sell_timing_fast_safe_20260518_155221.zip,COMPRESS_TO_ZIP,0.024,0.019,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150522,V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150522,V18_12E_R1,2026-05-18T15:05:24,0.031,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150522.zip,COMPRESS_TO_ZIP,0.017,0.014,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150304,V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150304,V18_12E_R1,2026-05-18T15:03:07,0.031,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12E_R1_stable_sell_timing_daily_wrapper_20260518_150304.zip,COMPRESS_TO_ZIP,0.017,0.014,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145345,V18_12D_R1_stable_exit_signal_forward_validation_20260518_145345,V18_12D_R1,2026-05-18T14:53:46,0.055,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145345.zip,COMPRESS_TO_ZIP,0.030,0.025,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145213,V18_12D_R1_stable_exit_signal_forward_validation_20260518_145213,V18_12D_R1,2026-05-18T14:52:14,0.055,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12D_R1_stable_exit_signal_forward_validation_20260518_145213.zip,COMPRESS_TO_ZIP,0.030,0.025,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12C_R1_stable_position_lifecycle_review_20260518_143825,V18_12C_R1_stable_position_lifecycle_review_20260518_143825,V18_12C_R1,2026-05-18T14:38:26,0.042,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12C_R1_stable_position_lifecycle_review_20260518_143825.zip,COMPRESS_TO_ZIP,0.023,0.019,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12C_R1_stable_position_lifecycle_review_20260518_143729,V18_12C_R1_stable_position_lifecycle_review_20260518_143729,V18_12C_R1,2026-05-18T14:37:30,0.042,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12C_R1_stable_position_lifecycle_review_20260518_143729.zip,COMPRESS_TO_ZIP,0.023,0.019,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141759,V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141759,V18_12B_R1,2026-05-18T14:17:59,0.053,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141759.zip,COMPRESS_TO_ZIP,0.029,0.024,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141656,V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141656,V18_12B_R1,2026-05-18T14:16:56,0.053,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12B_R1_stable_sell_timing_technical_label_integration_20260518_141656.zip,COMPRESS_TO_ZIP,0.029,0.024,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_12A_R1_stable_sell_timing_shadow_engine_20260518_140101,V18_12A_R1_stable_sell_timing_shadow_engine_20260518_140101,V18_12A_R1,2026-05-18T14:01:01,0.047,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_12A_R1_stable_sell_timing_shadow_engine_20260518_140101.zip,COMPRESS_TO_ZIP,0.026,0.021,SAFE_COMPRESSION_CANDIDATE,
D:\us-tech-quant\archive\stable\V18_11F_R1_stable_shadow_factor_research_chain_20260518_000500,V18_11F_R1_stable_shadow_factor_research_chain_20260518_000500,V18_11F_R1,2026-05-18T00:05:04,3.882,232,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,D:\us-tech-quant\archive\stable_compressed\V18_11F_R1_stable_shadow_factor_research_chain_20260518_000500.zip,COMPRESS_TO_ZIP,2.135,1.747,SAFE_COMPRESSION_CANDIDATE,
