snapshot_date,ticker,expiration_date,days_to_expiration,dte_bucket,underlying_price,atm_call_mid,atm_put_mid,atm_call_iv,atm_put_iv,atm_straddle_expected_move,atm_straddle_expected_move_pct,iv_sqrt_time_expected_move_pct,selected_expected_move_pct,otm_5_call_iv,otm_5_put_iv,otm_10_call_iv,otm_10_put_iv,put_call_iv_skew,put_call_volume_ratio,put_call_open_interest_ratio,good_contract_count,ok_contract_count,thin_contract_count,unusable_contract_count,dte_bucket_liquidity_status,dte_bucket_options_risk_score,dte_bucket_options_risk_level,calculation_notes
2026-05-28,KEYS,2026-06-18,21,MID,347.6500,15.6500,16.0500,0.5404,0.4715,31.7000,0.0912,0.1214,0.0912,0.5226,0.4959,0.5143,0.5025,-0.0193,0.2092,1.8469,0,3,3,0,MEDIUM,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,KEYS,2026-07-17,50,FAR,347.6500,23.7000,23.5000,0.5094,0.4583,47.2000,0.1358,0.1791,0.1358,0.4939,0.4633,0.4955,0.4775,-0.0243,0.3617,0.4364,0,6,0,0,LOW,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,KEYS,2026-08-21,85,EXTENDED,347.6500,34.7500,32.9000,0.5331,0.4884,67.6500,0.1946,0.2465,0.1946,0.5267,0.4977,0.5230,0.5090,-0.0215,200.3000,0.0722,0,3,3,0,MEDIUM,48.75,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,VRT,2026-06-05,8,NEAR,319.7800,14.0000,13.4500,0.7045,0.6660,27.4500,0.0858,0.1014,0.0858,0.6918,0.6775,0.6770,0.6976,0.0032,1.4224,5.2574,1,4,1,0,LOW,36.25,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,VRT,2026-07-02,35,MID,319.7800,29.3250,25.1000,0.6769,0.6246,54.4250,0.1702,0.2015,0.1702,0.6684,0.6188,0.6645,0.6486,-0.0328,1.1667,1.9565,0,0,6,0,HIGH,55.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,VRT,2026-07-17,50,FAR,319.7800,31.9500,29.8500,0.6738,0.6249,61.8000,0.1933,0.2403,0.1933,0.6559,0.6377,0.6539,0.6427,-0.0147,0.2125,1.4494,6,0,0,0,LOW,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,VRT,2026-08-21,85,EXTENDED,319.7800,44.0000,40.6750,0.7156,0.6577,84.6750,0.2648,0.3314,0.2648,0.7034,0.6657,0.6989,0.6711,-0.0328,0.0154,1.4196,4,2,0,0,LOW,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,FIX,2026-06-18,21,MID,1867.0900,128.7000,111.8500,0.6863,0.6327,240.5500,0.1288,0.1582,0.1288,0.6840,0.6282,0.6668,0.6099,-0.0563,3.7167,0.7872,0,5,1,0,LOW,42.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,FIX,2026-07-17,50,FAR,1867.0900,185.8000,165.0000,0.6574,0.6078,350.8000,0.1879,0.2341,0.1879,0.6533,0.6181,0.6477,0.6215,-0.0307,1.2000,2.0789,0,2,4,0,HIGH,55.00,HIGH,STRADDLE_EXPECTED_MOVE_USED
2026-05-28,LITE,2026-06-05,8,NEAR,902.3100,61.9000,56.3500,1.0772,1.0196,118.2500,0.1311,0.1552,0.1311,1.0859,1.0284,1.0741,1.0513,-0.0401,1.1111,0.1618,0,5,1,0,LOW,47.50,MEDIUM,STRADDLE_EXPECTED_MOVE_USED
