"rank","ticker","composite_candidate_score","system_price_date","system_close","manual_price_date","manual_close","change_pct_from_system","manual_latest_price_flag"
"1","KEYS","57.456","2026-05-26","355.74","2026-05-28","339.13","-4.67","MEDIUM_RECHECK"
"2","VRT","57.4","2026-05-26","323.91","2026-05-28","314.18","-3","MEDIUM_RECHECK"
"3","ICHR","56.64","2026-05-26","72.73","2026-05-28","70.15","-3.55","MEDIUM_RECHECK"
"4","NVDA","54.62","2026-05-26","214.86","2026-05-28","214.25","-0.28","STABLE"
"5","D","53.916","2026-05-26","67.28","2026-05-28","67.38","0.15","STABLE"
"6","AMKR","53.592","2026-05-26","73.46","2026-05-28","70.58","-3.92","MEDIUM_RECHECK"
"7","GOOGL","53.476","2026-05-26","388.88","2026-05-28","390.13","0.32","STABLE"
"8","FIX","53.096","2026-05-26","1883.5601","2026-05-28","1855.15","-1.51","STABLE"
"9","MCHP","52.448","2026-05-26","98.05","2026-05-28","96.04","-2.05","MEDIUM_RECHECK"
"10","LITE","52.332","2026-05-26","910.81","2026-05-28","860.62","-5.51","HIGH_RECHECK"
"11","VIAV","51.800559","2026-05-21","48.98","2026-05-28","48.49","-1","STABLE"
"12","CARR","51.684","2026-05-26","64.89","2026-05-28","63.81","-1.66","STABLE"
"13","ENTG","51.572","2026-05-26","142.12","2026-05-28","138.44","-2.59","MEDIUM_RECHECK"
"14","SITM","51.403528","2026-05-21","702.885","2026-05-28","729.51","3.79","MEDIUM_RECHECK"
"15","CRWV","50.924","2026-05-26","105.89","2026-05-28","106.86","0.92","STABLE"
"16","ETR","50.544","2026-05-26","111.97","2026-05-28","109.62","-2.1","MEDIUM_RECHECK"
"17","TSEM","50.428133","2026-05-21","272.675","2026-05-28","275.5","1.04","STABLE"
"18","COHU","50.428","2026-05-26","49.93","2026-05-28","54.05","8.25","HIGH_RECHECK"
"19","HUT","49.710963","2026-05-20","96.51","2026-05-28","124.24","28.73","EXTREME_RECHECK"
"20","GEV","49.668","2026-05-26","1070.47","2026-05-28","996","-6.96","HIGH_RECHECK"
"21","STM","49.556907","2026-05-21","64.645","2026-05-28","69.45","7.43","HIGH_RECHECK"
"22","FN","48.952","2026-05-26","680.77","2026-05-28","667.95","-1.88","STABLE"
"23","ETN","48.904","2026-05-26","403.13","2026-05-28","401.94","-0.3","STABLE"
"24","HUBB","48.152","2026-05-26","478.05","2026-05-28","473.93","-0.86","STABLE"
"25","ALM","48.055596","2026-05-20","17.64","2026-05-28","20.7","17.35","EXTREME_RECHECK"
"26","POWL","47.876","2026-05-26","291.97","2026-05-28","288.9","-1.05","STABLE"
"27","COHR","47.76","2026-05-26","381.35","2026-05-28","376.95","-1.15","STABLE"
"28","BW","47.5212","2026-05-21","20.54","2026-05-28","19.18","-6.62","HIGH_RECHECK"
"29","AVGO","47.38","2026-05-26","422.01","2026-05-28","426.58","1.08","STABLE"
"30","ACM","47.068","2026-05-26","72.47","2026-05-28","70.87","-2.21","MEDIUM_RECHECK"
"31","CAMT","47.0","2026-05-26","174.73","2026-05-28","174.78","0.03","STABLE"
"32","FORM","46.62","2026-05-26","136.48","2026-05-28","130.22","-4.59","MEDIUM_RECHECK"
"33","PLUG","46.199608","2026-05-21","3.765","2026-05-28","4.12","9.43","HIGH_RECHECK"
"34","GLW","45.856","2026-05-26","196.17","2026-05-28","182.97","-6.73","HIGH_RECHECK"
"35","AGX","45.623519","2026-05-20","630.5","2026-05-28","677.45","7.45","HIGH_RECHECK"
