ticker,relative_strength_score,trend_structure_score,buy_zone_score,volume_confirmation_score,volatility_risk_score,price_derived_total_score,price_derived_status
AA,,,,,,,INSUFFICIENT_HISTORY
AAL,,,,,,,INSUFFICIENT_HISTORY
AAPL,0,3,1,-1,1,4,BREAKOUT_NO_VOLUME
ABR,,,,,,,INSUFFICIENT_HISTORY
ACLS,4,3,2,0,-2,7,HIGH_VOL_CAUTION
ACM,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT
ACMR,1,3,-2,0,-1,1,STRONG_BUT_EXTENDED
ADBE,,,,,,,INSUFFICIENT_HISTORY
ADMA,,,,,,,INSUFFICIENT_HISTORY
ADSK,,,,,,,INSUFFICIENT_HISTORY
AEHR,4,3,1,0,-2,6,HIGH_VOL_CAUTION
AEIS,,,,,,,INSUFFICIENT_HISTORY
AEVA,,,,,,,INSUFFICIENT_HISTORY
AFRM,,,,,,,INSUFFICIENT_HISTORY
AGX,,,,,,,INSUFFICIENT_HISTORY
ALAB,4,-1,-2,-1,-2,-2,HIGH_VOL_CAUTION
ALM,,,,,,,INSUFFICIENT_HISTORY
AMAT,2,3,1,0,0,6,STRONG_TREND_NEAR_BUY_ZONE
AMC,,,,,,,INSUFFICIENT_HISTORY
AMD,4,3,-2,0,-2,3,HIGH_VOL_CAUTION
AMKR,1,1,2,0,-1,3,NEUTRAL_PRICE_STRUCTURE
AMZN,1,1,2,0,1,5,NEUTRAL_PRICE_STRUCTURE
ANET,-2,-2,2,0,-1,-3,NEUTRAL_PRICE_STRUCTURE
APG,,,,,,,INSUFFICIENT_HISTORY
APH,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT
APLD,,,,,,,INSUFFICIENT_HISTORY
APO,,,,,,,INSUFFICIENT_HISTORY
APP,,,,,,,INSUFFICIENT_HISTORY
ARGT,,,,,,,INSUFFICIENT_HISTORY
ARM,4,3,2,0,-2,7,HIGH_VOL_CAUTION
ASML,-2,3,2,0,0,3,STRONG_TREND_NEAR_BUY_ZONE
AVGO,1,3,2,0,0,6,STRONG_TREND_NEAR_BUY_ZONE
AXON,,,,,,,INSUFFICIENT_HISTORY
BABA,,,,,,,INSUFFICIENT_HISTORY
BAC,,,,,,,INSUFFICIENT_HISTORY
BALL,,,,,,,INSUFFICIENT_HISTORY
BE,4,3,2,0,-2,7,HIGH_VOL_CAUTION
BIDU,,,,,,,INSUFFICIENT_HISTORY
BITF,,,,,,,INSUFFICIENT_HISTORY
BKNG,,,,,,,INSUFFICIENT_HISTORY
BLSH,,,,,,,INSUFFICIENT_HISTORY
BLTE,,,,,,,INSUFFICIENT_HISTORY
BN,,,,,,,INSUFFICIENT_HISTORY
BSX,,,,,,,INSUFFICIENT_HISTORY
BTDR,1,-2,2,0,-2,-1,HIGH_VOL_CAUTION
BW,,,,,,,INSUFFICIENT_HISTORY
BYND,,,,,,,INSUFFICIENT_HISTORY
CAI,,,,,,,INSUFFICIENT_HISTORY
CAMT,-2,-2,2,0,-2,-4,HIGH_VOL_CAUTION
CARR,-2,2,2,0,0,2,STRONG_TREND_NEAR_BUY_ZONE
CART,,,,,,,INSUFFICIENT_HISTORY
CDNS,,,,,,,INSUFFICIENT_HISTORY
CDTX,,,,,,,INSUFFICIENT_HISTORY
CEG,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT
CFLT,,,,,,,INSUFFICIENT_HISTORY
CHPT,,,,,,,INSUFFICIENT_HISTORY
CHRW,,,,,,,INSUFFICIENT_HISTORY
CHYM,,,,,,,INSUFFICIENT_HISTORY
CIEN,3,3,1,0,-1,6,STRONG_TREND_NEAR_BUY_ZONE
CIFR,1,3,2,0,-2,4,HIGH_VOL_CAUTION
CLF,,,,,,,INSUFFICIENT_HISTORY
CLH,,,,,,,INSUFFICIENT_HISTORY
CLS,0,0,2,0,-2,0,HIGH_VOL_CAUTION
CLSK,,,,,,,INSUFFICIENT_HISTORY
CMG,,,,,,,INSUFFICIENT_HISTORY
CNM,,,,,,,INSUFFICIENT_HISTORY
COF,,,,,,,INSUFFICIENT_HISTORY
COG,,,,,,,INSUFFICIENT_HISTORY
COGT,,,,,,,INSUFFICIENT_HISTORY
COHR,3,3,-2,0,-2,2,HIGH_VOL_CAUTION
COHU,3,1,2,0,-1,5,NEUTRAL_PRICE_STRUCTURE
CORZ,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
CPAY,,,,,,,INSUFFICIENT_HISTORY
CPNG,,,,,,,INSUFFICIENT_HISTORY
CRCL,,,,,,,INSUFFICIENT_HISTORY
CRDO,1,1,2,0,-2,2,HIGH_VOL_CAUTION
CRH,,,,,,,INSUFFICIENT_HISTORY
CRM,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT
CRS,,,,,,,INSUFFICIENT_HISTORY
CRWD,4,-1,-2,-1,0,0,BREAKOUT_NO_VOLUME
CRWV,-2,-2,2,0,-2,-4,HIGH_VOL_CAUTION
CSCO,4,3,-2,-1,0,4,BREAKOUT_NO_VOLUME
CSGP,,,,,,,INSUFFICIENT_HISTORY
CVNA,,,,,,,INSUFFICIENT_HISTORY
D,-2,-3,2,0,1,-2,NEUTRAL_PRICE_STRUCTURE
DAKT,,,,,,,INSUFFICIENT_HISTORY
DAL,,,,,,,INSUFFICIENT_HISTORY
DASH,,,,,,,INSUFFICIENT_HISTORY
DB,,,,,,,INSUFFICIENT_HISTORY
DBVT,,,,,,,INSUFFICIENT_HISTORY
DDOG,4,-1,-2,-1,-2,-2,HIGH_VOL_CAUTION
DELL,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
DIS,,,,,,,INSUFFICIENT_HISTORY
DOCU,,,,,,,INSUFFICIENT_HISTORY
DUOL,,,,,,,INSUFFICIENT_HISTORY
ECL,-2,-3,-3,0,1,-7,BELOW_TREND_SUPPORT
EEM,,,,,,,INSUFFICIENT_HISTORY
ENPH,,,,,,,INSUFFICIENT_HISTORY
ENTG,-2,1,2,0,-1,0,NEUTRAL_PRICE_STRUCTURE
EQIX,,,,,,,INSUFFICIENT_HISTORY
EQT,,,,,,,INSUFFICIENT_HISTORY
ET,,,,,,,INSUFFICIENT_HISTORY
ETN,-2,1,2,0,0,1,NEUTRAL_PRICE_STRUCTURE
ETR,-2,-2,2,0,1,-1,NEUTRAL_PRICE_STRUCTURE
EWY,,,,,,,INSUFFICIENT_HISTORY
EWZ,,,,,,,INSUFFICIENT_HISTORY
FCNCA,,,,,,,INSUFFICIENT_HISTORY
FIGR,,,,,,,INSUFFICIENT_HISTORY
FIX,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
FLEX,4,3,-2,0,-2,3,HIGH_VOL_CAUTION
FLR,-2,-3,-3,0,-1,-9,BELOW_TREND_SUPPORT
FLS,,,,,,,INSUFFICIENT_HISTORY
FLUT,,,,,,,INSUFFICIENT_HISTORY
FN,1,3,1,0,-2,3,HIGH_VOL_CAUTION
FORM,1,1,2,0,-2,2,HIGH_VOL_CAUTION
FWONK,,,,,,,INSUFFICIENT_HISTORY
GEHC,,,,,,,INSUFFICIENT_HISTORY
GEMI,,,,,,,INSUFFICIENT_HISTORY
GEV,1,1,2,0,-1,3,NEUTRAL_PRICE_STRUCTURE
GLW,4,3,1,0,-2,6,HIGH_VOL_CAUTION
GNRC,1,3,1,0,-1,4,STRONG_TREND_NEAR_BUY_ZONE
GOOG,,,,,,,INSUFFICIENT_HISTORY
GOOGL,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
GRAB,,,,,,,INSUFFICIENT_HISTORY
GS,,,,,,,INSUFFICIENT_HISTORY
GSG,,,,,,,INSUFFICIENT_HISTORY
GT,,,,,,,INSUFFICIENT_HISTORY
HIVE,,,,,,,INSUFFICIENT_HISTORY
HLT,,,,,,,INSUFFICIENT_HISTORY
HOOD,,,,,,,INSUFFICIENT_HISTORY
HPE,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
HTZ,,,,,,,INSUFFICIENT_HISTORY
HUBB,-2,-3,-3,0,1,-7,BELOW_TREND_SUPPORT
HUBS,,,,,,,INSUFFICIENT_HISTORY
HUM,,,,,,,INSUFFICIENT_HISTORY
HUT,,,,,,,INSUFFICIENT_HISTORY
IBIT,,,,,,,INSUFFICIENT_HISTORY
ICHR,3,3,2,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
IGV,-2,-2,1,0,1,-2,BELOW_TREND_SUPPORT
INFY,,,,,,,INSUFFICIENT_HISTORY
INSM,,,,,,,INSUFFICIENT_HISTORY
INTC,4,3,2,0,-2,7,HIGH_VOL_CAUTION
IRDM,1,3,2,0,-1,5,STRONG_TREND_NEAR_BUY_ZONE
IREN,2,3,2,0,-2,5,HIGH_VOL_CAUTION
ISRG,,,,,,,INSUFFICIENT_HISTORY
IWM,,,,,,,INSUFFICIENT_HISTORY
IYW,2,3,1,0,1,7,STRONG_TREND_NEAR_BUY_ZONE
JBL,1,1,2,0,0,4,NEUTRAL_PRICE_STRUCTURE
JBS,,,,,,,INSUFFICIENT_HISTORY
JCI,,,,,,,INSUFFICIENT_HISTORY
JD,,,,,,,INSUFFICIENT_HISTORY
JFROG,,,,,,,INSUFFICIENT_HISTORY
JHX,,,,,,,INSUFFICIENT_HISTORY
KEYS,1,3,2,0,1,7,STRONG_TREND_NEAR_BUY_ZONE
KKR,,,,,,,INSUFFICIENT_HISTORY
KLAC,0,3,2,0,0,5,STRONG_TREND_NEAR_BUY_ZONE
KLAR,,,,,,,INSUFFICIENT_HISTORY
KLIC,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
KNX,,,,,,,INSUFFICIENT_HISTORY
KRC,,,,,,,INSUFFICIENT_HISTORY
KVYO,,,,,,,INSUFFICIENT_HISTORY
KWEB,,,,,,,INSUFFICIENT_HISTORY
LBRT,,,,,,,INSUFFICIENT_HISTORY
LCID,,,,,,,INSUFFICIENT_HISTORY
LHX,,,,,,,INSUFFICIENT_HISTORY
LIN,,,,,,,INSUFFICIENT_HISTORY
LINE,,,,,,,INSUFFICIENT_HISTORY
LITE,1,3,2,0,-2,4,HIGH_VOL_CAUTION
LPLA,,,,,,,INSUFFICIENT_HISTORY
LRCX,0,3,1,0,0,4,STRONG_TREND_NEAR_BUY_ZONE
LSCC,,,,,,,INSUFFICIENT_HISTORY
LYB,,,,,,,INSUFFICIENT_HISTORY
LYFT,,,,,,,INSUFFICIENT_HISTORY
MA,,,,,,,INSUFFICIENT_HISTORY
MCHP,3,3,2,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
MCK,,,,,,,INSUFFICIENT_HISTORY
MDB,1,-1,-2,-1,0,-3,BELOW_TREND_SUPPORT
MELI,,,,,,,INSUFFICIENT_HISTORY
META,-2,-3,2,0,0,-3,BELOW_TREND_SUPPORT
MKSI,0,3,2,0,0,5,STRONG_TREND_NEAR_BUY_ZONE
MNTN,,,,,,,INSUFFICIENT_HISTORY
MOD,3,3,2,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
MOH,,,,,,,INSUFFICIENT_HISTORY
MPLX,,,,,,,INSUFFICIENT_HISTORY
MPW,,,,,,,INSUFFICIENT_HISTORY
MPWR,1,1,2,0,0,4,NEUTRAL_PRICE_STRUCTURE
MRVL,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
MSFT,-2,-2,2,0,1,-1,BELOW_TREND_SUPPORT
MTSI,,,,,,,INSUFFICIENT_HISTORY
MTZ,,,,,,,INSUFFICIENT_HISTORY
MU,4,3,-2,0,-2,3,HIGH_VOL_CAUTION
NAMS,,,,,,,INSUFFICIENT_HISTORY
NET,-2,-2,-3,0,-2,-9,HIGH_VOL_CAUTION
NFLX,,,,,,,INSUFFICIENT_HISTORY
NI,,,,,,,INSUFFICIENT_HISTORY
NOW,-2,-3,-3,0,-2,-10,HIGH_VOL_CAUTION
NRG,,,,,,,INSUFFICIENT_HISTORY
NTAP,0,-1,1,0,1,1,NEUTRAL_PRICE_STRUCTURE
NTRA,,,,,,,INSUFFICIENT_HISTORY
NU,,,,,,,INSUFFICIENT_HISTORY
NUVB,,,,,,,INSUFFICIENT_HISTORY
NVAX,,,,,,,INSUFFICIENT_HISTORY
NVDA,2,3,1,0,0,6,STRONG_TREND_NEAR_BUY_ZONE
NVT,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
NXPI,3,3,1,0,-2,5,HIGH_VOL_CAUTION
OC,,,,,,,INSUFFICIENT_HISTORY
OKTA,,,,,,,INSUFFICIENT_HISTORY
OLMA,,,,,,,INSUFFICIENT_HISTORY
OLPX,,,,,,,INSUFFICIENT_HISTORY
ON,4,3,-2,0,-1,4,STRONG_BUT_EXTENDED
OPCH,,,,,,,INSUFFICIENT_HISTORY
ORCL,2,-2,1,0,0,1,BELOW_TREND_SUPPORT
PANW,4,-1,-2,-1,0,0,BREAKOUT_NO_VOLUME
PATH,,,,,,,INSUFFICIENT_HISTORY
PCOR,,,,,,,INSUFFICIENT_HISTORY
PCT,,,,,,,INSUFFICIENT_HISTORY
PDD,,,,,,,INSUFFICIENT_HISTORY
PFGC,,,,,,,INSUFFICIENT_HISTORY
PGNY,,,,,,,INSUFFICIENT_HISTORY
PI,,,,,,,INSUFFICIENT_HISTORY
PINS,,,,,,,INSUFFICIENT_HISTORY
PLTR,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT
PLUG,,,,,,,INSUFFICIENT_HISTORY
PM,,,,,,,INSUFFICIENT_HISTORY
PONY,,,,,,,INSUFFICIENT_HISTORY
POWL,4,3,2,0,-1,8,STRONG_TREND_NEAR_BUY_ZONE
PSIX,,,,,,,INSUFFICIENT_HISTORY
PSTG,1,-1,-2,0,0,-2,NEUTRAL_PRICE_STRUCTURE
PTGX,,,,,,,INSUFFICIENT_HISTORY
PTON,,,,,,,INSUFFICIENT_HISTORY
PUMP,,,,,,,INSUFFICIENT_HISTORY
PWR,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
PYPL,,,,,,,INSUFFICIENT_HISTORY
QCOM,4,-1,-2,0,-2,-1,HIGH_VOL_CAUTION
QQQ,-2,3,1,0,1,3,STRONG_TREND_NEAR_BUY_ZONE
QS,,,,,,,INSUFFICIENT_HISTORY
QSR,,,,,,,INSUFFICIENT_HISTORY
RBLX,,,,,,,INSUFFICIENT_HISTORY
RDDT,,,,,,,INSUFFICIENT_HISTORY
RERE,,,,,,,INSUFFICIENT_HISTORY
RH,,,,,,,INSUFFICIENT_HISTORY
RIOT,,,,,,,INSUFFICIENT_HISTORY
RKT,,,,,,,INSUFFICIENT_HISTORY
RNG,,,,,,,INSUFFICIENT_HISTORY
ROKU,,,,,,,INSUFFICIENT_HISTORY
RSP,,,,,,,INSUFFICIENT_HISTORY
RTX,,,,,,,INSUFFICIENT_HISTORY
RVMD,,,,,,,INSUFFICIENT_HISTORY
SANM,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
SATS,,,,,,,INSUFFICIENT_HISTORY
SCCO,,,,,,,INSUFFICIENT_HISTORY
SCHW,,,,,,,INSUFFICIENT_HISTORY
SE,,,,,,,INSUFFICIENT_HISTORY
SEI,,,,,,,INSUFFICIENT_HISTORY
SFIX,,,,,,,INSUFFICIENT_HISTORY
SFM,,,,,,,INSUFFICIENT_HISTORY
SHOP,,,,,,,INSUFFICIENT_HISTORY
SHW,,,,,,,INSUFFICIENT_HISTORY
SITM,,,,,,,INSUFFICIENT_HISTORY
SMCI,-2,-2,2,0,-2,-4,HIGH_VOL_CAUTION
SMH,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
SMTC,,,,,,,INSUFFICIENT_HISTORY
SNDK,4,3,-2,0,-2,3,HIGH_VOL_CAUTION
SNOW,-2,-2,1,-1,-1,-5,BELOW_TREND_SUPPORT
SNPS,,,,,,,INSUFFICIENT_HISTORY
SOLS,,,,,,,INSUFFICIENT_HISTORY
SOXL,4,3,-2,0,-2,3,HIGH_VOL_CAUTION
SOXX,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
SPOT,,,,,,,INSUFFICIENT_HISTORY
SPY,-2,3,1,0,1,3,STRONG_TREND_NEAR_BUY_ZONE
STG,,,,,,,INSUFFICIENT_HISTORY
STM,,,,,,,INSUFFICIENT_HISTORY
STUB,,,,,,,INSUFFICIENT_HISTORY
STX,4,3,-2,0,-1,4,STRONG_BUT_EXTENDED
TEAM,,,,,,,INSUFFICIENT_HISTORY
TER,-2,0,2,0,-2,-2,HIGH_VOL_CAUTION
TEVA,,,,,,,INSUFFICIENT_HISTORY
TICKER,,,,,,,INSUFFICIENT_HISTORY
TICKERS,,,,,,,INSUFFICIENT_HISTORY
TIGR,,,,,,,INSUFFICIENT_HISTORY
TLN,,,,,,,INSUFFICIENT_HISTORY
TQQQ,0,0,-1,0,0,-1,INSUFFICIENT_HISTORY
TSEM,,,,,,,INSUFFICIENT_HISTORY
TSLA,-2,-1,1,0,0,-2,NEUTRAL_PRICE_STRUCTURE
TSM,0,3,2,0,0,5,STRONG_TREND_NEAR_BUY_ZONE
TTD,,,,,,,INSUFFICIENT_HISTORY
TTMI,,,,,,,INSUFFICIENT_HISTORY
TTWO,,,,,,,INSUFFICIENT_HISTORY
TWLO,,,,,,,INSUFFICIENT_HISTORY
TWST,,,,,,,INSUFFICIENT_HISTORY
TXN,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
U,,,,,,,INSUFFICIENT_HISTORY
UAL,,,,,,,INSUFFICIENT_HISTORY
UBER,,,,,,,INSUFFICIENT_HISTORY
UNH,,,,,,,INSUFFICIENT_HISTORY
UPST,,,,,,,INSUFFICIENT_HISTORY
USFD,,,,,,,INSUFFICIENT_HISTORY
V,,,,,,,INSUFFICIENT_HISTORY
VECO,4,3,2,0,-2,7,HIGH_VOL_CAUTION
VEEV,,,,,,,INSUFFICIENT_HISTORY
VIAV,,,,,,,INSUFFICIENT_HISTORY
VIST,,,,,,,INSUFFICIENT_HISTORY
VMC,,,,,,,INSUFFICIENT_HISTORY
VRT,4,3,1,0,-1,7,STRONG_TREND_NEAR_BUY_ZONE
VST,-2,-3,-3,0,0,-8,BELOW_TREND_SUPPORT
WAB,,,,,,,INSUFFICIENT_HISTORY
WDAY,,,,,,,INSUFFICIENT_HISTORY
WDC,4,3,1,0,0,8,STRONG_TREND_NEAR_BUY_ZONE
WHR,,,,,,,INSUFFICIENT_HISTORY
WING,,,,,,,INSUFFICIENT_HISTORY
WLK,,,,,,,INSUFFICIENT_HISTORY
WOLF,,,,,,,INSUFFICIENT_HISTORY
WULF,,,,,,,INSUFFICIENT_HISTORY
WVE,,,,,,,INSUFFICIENT_HISTORY
WWD,,,,,,,INSUFFICIENT_HISTORY
WYFI,,,,,,,INSUFFICIENT_HISTORY
XENE,,,,,,,INSUFFICIENT_HISTORY
XLF,,,,,,,INSUFFICIENT_HISTORY
XLK,2,3,1,0,1,7,STRONG_TREND_NEAR_BUY_ZONE
XPO,,,,,,,INSUFFICIENT_HISTORY
XYZ,,,,,,,INSUFFICIENT_HISTORY
YPF,,,,,,,INSUFFICIENT_HISTORY
Z,,,,,,,INSUFFICIENT_HISTORY
ZG,,,,,,,INSUFFICIENT_HISTORY
ZS,1,-2,1,-1,-1,-2,BELOW_TREND_SUPPORT
