list_name,rank,ticker,sort_metric,sort_metric_value,status_label
top_relative_strength_by_rs_20d_vs_qqq,1,SOXL,relative_strength_20d_vs_qqq,0.690205,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,2,FLEX,relative_strength_20d_vs_qqq,0.613926,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,3,DDOG,relative_strength_20d_vs_qqq,0.527839,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,4,MU,relative_strength_20d_vs_qqq,0.521924,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,5,INTC,relative_strength_20d_vs_qqq,0.490833,NEAR_20DMA_PULLBACK
top_relative_strength_by_rs_20d_vs_qqq,6,AMD,relative_strength_20d_vs_qqq,0.462775,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,7,SNDK,relative_strength_20d_vs_qqq,0.438349,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,8,QCOM,relative_strength_20d_vs_qqq,0.371036,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,9,STX,relative_strength_20d_vs_qqq,0.355290,EXTENDED_ABOVE_BUY_ZONE
top_relative_strength_by_rs_20d_vs_qqq,10,PANW,relative_strength_20d_vs_qqq,0.327809,EXTENDED_ABOVE_BUY_ZONE
top_near_buy_zone_by_abs_nearest_buy_zone_distance,1,AAPL,nearest_buy_zone_distance,0.000000,BREAKOUT_NEAR
top_near_buy_zone_by_abs_nearest_buy_zone_distance,2,SNOW,nearest_buy_zone_distance,0.000000,BREAKOUT_NEAR
top_near_buy_zone_by_abs_nearest_buy_zone_distance,3,ZS,nearest_buy_zone_distance,0.000000,BREAKOUT_NEAR
top_near_buy_zone_by_abs_nearest_buy_zone_distance,4,IGV,nearest_buy_zone_distance,-0.000658,BREAKOUT_NEAR
top_near_buy_zone_by_abs_nearest_buy_zone_distance,5,COHU,nearest_buy_zone_distance,-0.002474,NEAR_20DMA_PULLBACK
top_near_buy_zone_by_abs_nearest_buy_zone_distance,6,D,nearest_buy_zone_distance,-0.003146,NEAR_50DMA_PULLBACK
top_near_buy_zone_by_abs_nearest_buy_zone_distance,7,CARR,nearest_buy_zone_distance,0.003266,NEAR_20DMA_PULLBACK
top_near_buy_zone_by_abs_nearest_buy_zone_distance,8,JBL,nearest_buy_zone_distance,-0.003602,NEAR_20DMA_PULLBACK
top_near_buy_zone_by_abs_nearest_buy_zone_distance,9,KEYS,nearest_buy_zone_distance,0.003647,NEAR_20DMA_PULLBACK
top_near_buy_zone_by_abs_nearest_buy_zone_distance,10,NTAP,nearest_buy_zone_distance,-0.005003,BREAKOUT_NEAR
strongest_trend_structure_by_score,1,AAPL,trend_structure_score,3.000000,BREAKOUT_NO_VOLUME
strongest_trend_structure_by_score,2,ACLS,trend_structure_score,3.000000,HIGH_VOL_CAUTION
strongest_trend_structure_by_score,3,ACMR,trend_structure_score,3.000000,STRONG_BUT_EXTENDED
strongest_trend_structure_by_score,4,AEHR,trend_structure_score,3.000000,HIGH_VOL_CAUTION
strongest_trend_structure_by_score,5,AMAT,trend_structure_score,3.000000,STRONG_TREND_NEAR_BUY_ZONE
strongest_trend_structure_by_score,6,AMD,trend_structure_score,3.000000,HIGH_VOL_CAUTION
strongest_trend_structure_by_score,7,ARM,trend_structure_score,3.000000,HIGH_VOL_CAUTION
strongest_trend_structure_by_score,8,ASML,trend_structure_score,3.000000,STRONG_TREND_NEAR_BUY_ZONE
strongest_trend_structure_by_score,9,AVGO,trend_structure_score,3.000000,STRONG_TREND_NEAR_BUY_ZONE
strongest_trend_structure_by_score,10,BE,trend_structure_score,3.000000,HIGH_VOL_CAUTION
high_vol_caution_by_realized_volatility_20d,1,SOXL,realized_volatility_20d,1.323252,EXTENDED_ABOVE_BUY_ZONE
high_vol_caution_by_realized_volatility_20d,2,FLEX,realized_volatility_20d,1.232362,EXTENDED_ABOVE_BUY_ZONE
high_vol_caution_by_realized_volatility_20d,3,INTC,realized_volatility_20d,1.161297,NEAR_20DMA_PULLBACK
high_vol_caution_by_realized_volatility_20d,4,NET,realized_volatility_20d,1.109820,BELOW_KEY_SUPPORT
high_vol_caution_by_realized_volatility_20d,5,BTDR,realized_volatility_20d,1.100913,NEAR_20DMA_PULLBACK
high_vol_caution_by_realized_volatility_20d,6,ARM,realized_volatility_20d,1.091434,NEAR_20DMA_PULLBACK
high_vol_caution_by_realized_volatility_20d,7,IREN,realized_volatility_20d,1.088661,NEAR_20DMA_PULLBACK
high_vol_caution_by_realized_volatility_20d,8,BE,realized_volatility_20d,1.086333,NEAR_20DMA_PULLBACK
high_vol_caution_by_realized_volatility_20d,9,TER,realized_volatility_20d,1.061393,NEAR_50DMA_PULLBACK
high_vol_caution_by_realized_volatility_20d,10,CIFR,realized_volatility_20d,1.040877,NEAR_20DMA_PULLBACK
