list_name,eligible_count,rank,ticker,sort_metric,sort_metric_value,status_label,scope_class
TOP_RELATIVE_STRENGTH_TICKERS,104,1,SOXL,relative_strength_20d_vs_qqq,0.690205,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,2,FLEX,relative_strength_20d_vs_qqq,0.613926,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,3,DDOG,relative_strength_20d_vs_qqq,0.527839,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,4,MU,relative_strength_20d_vs_qqq,0.521924,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,5,INTC,relative_strength_20d_vs_qqq,0.490833,NEAR_20DMA_PULLBACK,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,6,AMD,relative_strength_20d_vs_qqq,0.462775,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,7,SNDK,relative_strength_20d_vs_qqq,0.438349,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,8,QCOM,relative_strength_20d_vs_qqq,0.371036,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,9,STX,relative_strength_20d_vs_qqq,0.355290,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_RELATIVE_STRENGTH_TICKERS,104,10,PANW,relative_strength_20d_vs_qqq,0.327809,EXTENDED_ABOVE_BUY_ZONE,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,1,AAPL,nearest_buy_zone_distance,0.000000,BREAKOUT_NEAR,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,2,SNOW,nearest_buy_zone_distance,0.000000,BREAKOUT_NEAR,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,3,ZS,nearest_buy_zone_distance,0.000000,BREAKOUT_NEAR,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,4,IGV,nearest_buy_zone_distance,-0.000658,BREAKOUT_NEAR,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,5,COHU,nearest_buy_zone_distance,-0.002474,NEAR_20DMA_PULLBACK,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,6,D,nearest_buy_zone_distance,-0.003146,NEAR_50DMA_PULLBACK,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,7,CARR,nearest_buy_zone_distance,0.003266,NEAR_20DMA_PULLBACK,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,8,JBL,nearest_buy_zone_distance,-0.003602,NEAR_20DMA_PULLBACK,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,9,KEYS,nearest_buy_zone_distance,0.003647,NEAR_20DMA_PULLBACK,FULL_HISTORY_FACTOR_READY
TOP_NEAR_BUY_ZONE_TICKERS,76,10,NTAP,nearest_buy_zone_distance,-0.005003,BREAKOUT_NEAR,FULL_HISTORY_FACTOR_READY
