ticker,date,open,high,low,close,adjusted_close,volume,source_provider_placeholder,fetch_timestamp_placeholder,staged_backfill_batch_id,validation_status,apply_status
AA,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AAL,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
ABR,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
ADBE,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
ADMA,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
ADSK,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AEIS,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AEVA,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AFRM,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AGX,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
ALM,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
AMC,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
APG,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
APLD,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
APO,YYYY-MM-DD,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,NUMERIC_PLACEHOLDER,INTEGER_PLACEHOLDER,APPROVED_PROVIDER_OR_IMPORT_SOURCE,YYYY-MM-DDTHH:MM:SS,V18_21H_R1_BATCH1,SCHEMA_PREVIEW_ONLY_NO_PRICE_DATA,NOT_APPLIED_SCHEMA_PREVIEW_ONLY
