ticker,target_file,backup_file,backup_status,notes
AMC,D:/us-tech-quant/state/v18/price_cache/AMC.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
APLD,D:/us-tech-quant/state/v18/price_cache/APLD.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
BW,D:/us-tech-quant/state/v18/price_cache/BW.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
BYND,D:/us-tech-quant/state/v18/price_cache/BYND.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
COGT,D:/us-tech-quant/state/v18/price_cache/COGT.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
CVNA,D:/us-tech-quant/state/v18/price_cache/CVNA.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
DBVT,D:/us-tech-quant/state/v18/price_cache/DBVT.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
FCNCA,D:/us-tech-quant/state/v18/price_cache/FCNCA.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
HOOD,D:/us-tech-quant/state/v18/price_cache/HOOD.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
HTZ,D:/us-tech-quant/state/v18/price_cache/HTZ.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
INSM,D:/us-tech-quant/state/v18/price_cache/INSM.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
NVAX,D:/us-tech-quant/state/v18/price_cache/NVAX.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
UPST,D:/us-tech-quant/state/v18/price_cache/UPST.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
USFD,D:/us-tech-quant/state/v18/price_cache/USFD.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
V,D:/us-tech-quant/state/v18/price_cache/V.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
VECO,D:/us-tech-quant/state/v18/price_cache/VECO.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
VEEV,D:/us-tech-quant/state/v18/price_cache/VEEV.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
VIAV,D:/us-tech-quant/state/v18/price_cache/VIAV.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
VIST,D:/us-tech-quant/state/v18/price_cache/VIST.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
VMC,D:/us-tech-quant/state/v18/price_cache/VMC.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WAB,D:/us-tech-quant/state/v18/price_cache/WAB.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WDAY,D:/us-tech-quant/state/v18/price_cache/WDAY.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WHR,D:/us-tech-quant/state/v18/price_cache/WHR.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WING,D:/us-tech-quant/state/v18/price_cache/WING.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WLK,D:/us-tech-quant/state/v18/price_cache/WLK.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WULF,D:/us-tech-quant/state/v18/price_cache/WULF.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WVE,D:/us-tech-quant/state/v18/price_cache/WVE.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
WWD,D:/us-tech-quant/state/v18/price_cache/WWD.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
XENE,D:/us-tech-quant/state/v18/price_cache/XENE.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
XLF,D:/us-tech-quant/state/v18/price_cache/XLF.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
XLK,D:/us-tech-quant/state/v18/price_cache/XLK.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
XPO,D:/us-tech-quant/state/v18/price_cache/XPO.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
XYZ,D:/us-tech-quant/state/v18/price_cache/XYZ.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
YPF,D:/us-tech-quant/state/v18/price_cache/YPF.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
Z,D:/us-tech-quant/state/v18/price_cache/Z.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
ZG,D:/us-tech-quant/state/v18/price_cache/ZG.csv,,NEW_TARGET_FILE,No existing official cache file to back up.
