ticker,integration_attempted,integration_success,target_action,target_official_price_cache_file,rows_written,duplicate_date_count_before,duplicate_date_count_after,error_message
AMC,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/AMC.csv,3124,,0,
APLD,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/APLD.csv,1030,,0,
BW,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/BW.csv,2750,,0,
BYND,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/BYND.csv,1774,,0,
COGT,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/COGT.csv,2048,,0,
CVNA,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/CVNA.csv,2279,,0,
DBVT,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/DBVT.csv,2912,,0,
FCNCA,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/FCNCA.csv,9971,,0,
HOOD,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/HOOD.csv,1209,,0,
HTZ,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/HTZ.csv,1228,,0,
INSM,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/INSM.csv,6532,,0,
NVAX,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/NVAX.csv,7665,,0,
UPST,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/UPST.csv,1363,,0,
USFD,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/USFD.csv,2511,,0,
V,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/V.csv,4573,,0,
VECO,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/VECO.csv,7922,,0,
VEEV,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/VEEV.csv,3168,,0,
VIAV,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/VIAV.csv,8182,,0,
VIST,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/VIST.csv,1715,,0,
VMC,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/VMC.csv,13426,,0,
WAB,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WAB.csv,7784,,0,
WDAY,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WDAY.csv,3420,,0,
WHR,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WHR.csv,13426,,0,
WING,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WING.csv,2752,,0,
WLK,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WLK.csv,5479,,0,
WULF,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WULF.csv,8087,,0,
WVE,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WVE.csv,2646,,0,
WWD,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/WWD.csv,8088,,0,
XENE,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/XENE.csv,2902,,0,
XLF,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/XLF.csv,6895,,0,
XLK,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/XLK.csv,6895,,0,
XPO,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/XPO.csv,5692,,0,
XYZ,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/XYZ.csv,2640,,0,
YPF,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/YPF.csv,8281,,0,
Z,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/Z.csv,2717,,0,
ZG,TRUE,TRUE,CREATE_NEW_FILE,D:/us-tech-quant/state/v18/price_cache/ZG.csv,3732,,0,
