component,source_file,exists,row_count,parse_status,status_value,note
V18_13A_READ_FIRST,D:\us-tech-quant\outputs\v18\read_center\V18_13A_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13A_UNIFIED_DAILY_READ_CENTER_READY,REQUIRED_INPUT
V18_13B_READ_FIRST,D:\us-tech-quant\outputs\v18\read_center\V18_13B_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13B_RANKED_CANDIDATE_READ_CENTER_READY,RANKED_INPUT
V18_13C_READ_FIRST,D:\us-tech-quant\outputs\v18\read_center\V18_13C_READ_FIRST.txt,YES,0,OK_TEXT,OK_V18_13C_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_READY,LINK_INPUT
V18_13C_MAIN_READ,D:\us-tech-quant\outputs\v18\read_center\V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES.md,YES,0,OK_TEXT,OK_V18_13C_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_READY,MAIN_READ_INPUT
V18_13B_CANDIDATES,D:\us-tech-quant\outputs\v18\candidates\V18_13B_CURRENT_RANKED_CANDIDATES.csv,YES,20,OK,OK_SCORE_SOURCE_FOUND,RANKED_CANDIDATE_INPUT
RUN_LOG,D:\us-tech-quant\outputs\v18\ops\V18_13D_CURRENT_DAILY_COMMAND_CENTER_RUN_LOG.csv,YES,4,OK,OK_V18_13D_READ_CENTER_REFRESH_READY,COMMAND_CENTER_RUN_LOG
OFFICIAL_DECISION_IMPACT,V18.13D,YES,0,OK_GUARDRAIL,NONE,OUTPUT_GUARDRAIL
AUTO_TRADE,V18.13D,YES,0,OK_GUARDRAIL,DISABLED,OUTPUT_GUARDRAIL
AUTO_SELL,V18.13D,YES,0,OK_GUARDRAIL,DISABLED,OUTPUT_GUARDRAIL
READ_ONLY,V18.13D,YES,0,OK_GUARDRAIL,TRUE,OUTPUT_GUARDRAIL
COMMAND_CENTER_ONLY,V18.13D,YES,0,OK_GUARDRAIL,TRUE,OUTPUT_GUARDRAIL
