ticker,factor_pack_row_present,factor_score_present,factor_pack_rank_present,factor_missing_reason,factor_refresh_needed,factor_ready
AMC,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
APLD,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
BW,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
BYND,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
COGT,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
CVNA,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
DBVT,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
FCNCA,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
HOOD,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
HTZ,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
INSM,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
NVAX,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
OKTA,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
OLMA,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
OLPX,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
OPCH,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PATH,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PCOR,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PCT,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PDD,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PFGC,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PGNY,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PI,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PINS,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PLUG,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PM,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PSIX,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PTGX,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PTON,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PUMP,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
PYPL,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
QS,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
QSR,FALSE,FALSE,FALSE,Missing current factor row/score/rank.,TRUE,FALSE
