ticker,source_batch,price_ledger_ready,factor_ready,technical_ready,tier_ready,overall_classification,next_actions
AMC,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
APLD,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
BW,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
BYND,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
COGT,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
CVNA,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
DBVT,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
FCNCA,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
HOOD,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
HTZ,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
INSM,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
NVAX,R23D_R23E,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
OKTA,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
OLMA,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
OLPX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
OPCH,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PATH,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PCOR,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PCT,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PDD,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PFGC,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PGNY,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PI,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PINS,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PLUG,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PSIX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PTGX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PTON,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PUMP,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
PYPL,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
QS,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
QSR,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RBLX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RERE,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RH,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RIOT,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RKT,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RNG,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
ROKU,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RSP,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RTX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
RVMD,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SATS,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SCCO,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SCHW,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SE,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SEI,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SFIX,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SFM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SHOP,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SHW,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SITM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SMTC,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SNPS,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
SPOT,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
STG,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
STM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TEAM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TEVA,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TIGR,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
TSEM,R19_R20,TRUE,FALSE,FALSE,FALSE,READY_FOR_FACTOR_BUILD,BUILD_FACTOR_ROWS
