ticker,technical_timing_row_present,technical_timing_score_present,technical_status_present,technical_missing_reason,technical_refresh_needed,technical_ready
AMC,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
APLD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
BW,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
BYND,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
COGT,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
CVNA,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
DBVT,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
FCNCA,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
HOOD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
HTZ,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
INSM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
NVAX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
OKTA,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
OLMA,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
OLPX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
OPCH,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PATH,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PCOR,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PCT,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PDD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PFGC,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PGNY,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PI,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PINS,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PLUG,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PSIX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PTGX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PTON,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PUMP,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
PYPL,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
QS,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
QSR,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RBLX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RERE,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RH,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RIOT,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RKT,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RNG,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
ROKU,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RSP,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RTX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
RVMD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SATS,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SCCO,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SCHW,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SE,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SEI,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SFIX,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SFM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SHOP,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SHW,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SITM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SMTC,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SNPS,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
SPOT,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
STG,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
STM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TEAM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TEVA,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TIGR,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TSEM,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TTD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TTMI,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TTWO,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TWLO,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
TWST,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
U,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
UAL,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
UBER,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
UNH,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
UPST,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
USFD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
V,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
VECO,TRUE,TRUE,TRUE,,FALSE,TRUE
VEEV,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
VIAV,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
VIST,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
VMC,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WAB,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WDAY,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WHR,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WING,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WLK,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WULF,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WVE,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
WWD,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
XENE,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
XLF,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
XLK,TRUE,TRUE,TRUE,,FALSE,TRUE
XPO,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
XYZ,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
YPF,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
Z,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
ZG,FALSE,FALSE,FALSE,Missing current technical row/score/status.,TRUE,FALSE
