priority_rank,ticker,price_row_count,min_price_date,max_price_date,latest_close,latest_volume,enough_history_for_technical_refresh,technical_plan_status,reason,source_batch
1,AMC,3124,2013-12-18,2026-05-21,1.559999942779541,18582100,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
2,APLD,1030,2022-04-13,2026-05-21,48.02000045776367,42927300,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
3,BW,2750,2015-06-16,2026-05-21,20.540000915527344,2526200,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
4,BYND,1774,2019-05-02,2026-05-21,0.7889999747276306,25746000,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
5,COGT,2048,2018-03-29,2026-05-21,32.58000183105469,1567800,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
6,CVNA,2279,2017-04-28,2026-05-21,64.38999938964844,9339400,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
7,DBVT,2912,2014-10-22,2026-05-21,18.56999969482422,168100,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
8,FCNCA,9971,1986-10-22,2026-05-21,1989.47998046875,47800,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
9,HOOD,1209,2021-07-29,2026-05-21,75.91999816894531,16220200,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
10,HTZ,1228,2021-07-01,2026-05-21,5.059999942779541,5456500,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
11,INSM,6532,2000-06-01,2026-05-21,109.52999877929688,3689600,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
12,NVAX,7665,1995-12-05,2026-05-21,8.979999542236328,3583500,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R23D_R23E
