ticker,force_eligible,classification,selection_reason,selected,last_success_scan_date,last_scan_status,last_scan_run_id,attempt_scan_count,success_scan_count
CNM,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
COF,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
COG,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
COGT,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
CPAY,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
CPNG,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
CRCL,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
CRH,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
CRS,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
CSGP,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
