ticker,official_cache_path,official_cache_exists,row_count,latest_date,has_required_price_columns,local_price_scan_success,full_history_ready,failure_reason
CNM,D:\us-tech-quant\state\v18\price_cache\CNM.csv,TRUE,1213,2026-05-20,TRUE,TRUE,TRUE,
COF,D:\us-tech-quant\state\v18\price_cache\COF.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
CPAY,D:\us-tech-quant\state\v18\price_cache\CPAY.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
CPNG,D:\us-tech-quant\state\v18\price_cache\CPNG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
CRH,D:\us-tech-quant\state\v18\price_cache\CRH.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
CRS,D:\us-tech-quant\state\v18\price_cache\CRS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
CSGP,D:\us-tech-quant\state\v18\price_cache\CSGP.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DAKT,D:\us-tech-quant\state\v18\price_cache\DAKT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DAL,D:\us-tech-quant\state\v18\price_cache\DAL.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DASH,D:\us-tech-quant\state\v18\price_cache\DASH.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DB,D:\us-tech-quant\state\v18\price_cache\DB.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DIS,D:\us-tech-quant\state\v18\price_cache\DIS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DOCU,D:\us-tech-quant\state\v18\price_cache\DOCU.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
DUOL,D:\us-tech-quant\state\v18\price_cache\DUOL.csv,TRUE,1209,2026-05-20,TRUE,TRUE,TRUE,
EEM,D:\us-tech-quant\state\v18\price_cache\EEM.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
ENPH,D:\us-tech-quant\state\v18\price_cache\ENPH.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
EQIX,D:\us-tech-quant\state\v18\price_cache\EQIX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
EQT,D:\us-tech-quant\state\v18\price_cache\EQT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
ET,D:\us-tech-quant\state\v18\price_cache\ET.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
EWY,D:\us-tech-quant\state\v18\price_cache\EWY.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
EWZ,D:\us-tech-quant\state\v18\price_cache\EWZ.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
FLS,D:\us-tech-quant\state\v18\price_cache\FLS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
FLUT,D:\us-tech-quant\state\v18\price_cache\FLUT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
FWONK,D:\us-tech-quant\state\v18\price_cache\FWONK.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
GEHC,D:\us-tech-quant\state\v18\price_cache\GEHC.csv,TRUE,859,2026-05-20,TRUE,TRUE,TRUE,
GOOG,D:\us-tech-quant\state\v18\price_cache\GOOG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
GRAB,D:\us-tech-quant\state\v18\price_cache\GRAB.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
GS,D:\us-tech-quant\state\v18\price_cache\GS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
GSG,D:\us-tech-quant\state\v18\price_cache\GSG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
GT,D:\us-tech-quant\state\v18\price_cache\GT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
HIVE,D:\us-tech-quant\state\v18\price_cache\HIVE.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
HLT,D:\us-tech-quant\state\v18\price_cache\HLT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
HUBS,D:\us-tech-quant\state\v18\price_cache\HUBS.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
HUM,D:\us-tech-quant\state\v18\price_cache\HUM.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
HUT,D:\us-tech-quant\state\v18\price_cache\HUT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
IBIT,D:\us-tech-quant\state\v18\price_cache\IBIT.csv,TRUE,591,2026-05-20,TRUE,TRUE,TRUE,
INFY,D:\us-tech-quant\state\v18\price_cache\INFY.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
ISRG,D:\us-tech-quant\state\v18\price_cache\ISRG.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
IWM,D:\us-tech-quant\state\v18\price_cache\IWM.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
JCI,D:\us-tech-quant\state\v18\price_cache\JCI.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
JD,D:\us-tech-quant\state\v18\price_cache\JD.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
JHX,D:\us-tech-quant\state\v18\price_cache\JHX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
KKR,D:\us-tech-quant\state\v18\price_cache\KKR.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
KNX,D:\us-tech-quant\state\v18\price_cache\KNX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
KRC,D:\us-tech-quant\state\v18\price_cache\KRC.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
KVYO,D:\us-tech-quant\state\v18\price_cache\KVYO.csv,TRUE,669,2026-05-20,TRUE,TRUE,TRUE,
KWEB,D:\us-tech-quant\state\v18\price_cache\KWEB.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
LBRT,D:\us-tech-quant\state\v18\price_cache\LBRT.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
LCID,D:\us-tech-quant\state\v18\price_cache\LCID.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
LHX,D:\us-tech-quant\state\v18\price_cache\LHX.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
LIN,D:\us-tech-quant\state\v18\price_cache\LIN.csv,TRUE,1262,2026-05-20,TRUE,TRUE,TRUE,
