ticker,official_price_cache_path,official_price_cache_available,row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,full_history_ready,scan_result,error_message
OKTA,D:\us-tech-quant\state\v18\price_cache\OKTA.csv,TRUE,2293,2017-04-07,2026-05-21,2026-05-21,TRUE,2293,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
OLMA,D:\us-tech-quant\state\v18\price_cache\OLMA.csv,TRUE,1381,2020-11-19,2026-05-21,2026-05-21,TRUE,1381,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
OLPX,D:\us-tech-quant\state\v18\price_cache\OLPX.csv,TRUE,1165,2021-09-30,2026-05-21,2026-05-21,TRUE,1165,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
OPCH,D:\us-tech-quant\state\v18\price_cache\OPCH.csv,TRUE,7489,1996-08-15,2026-05-21,2026-05-21,TRUE,7489,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PATH,D:\us-tech-quant\state\v18\price_cache\PATH.csv,TRUE,1278,2021-04-21,2026-05-21,2026-05-21,TRUE,1278,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PCOR,D:\us-tech-quant\state\v18\price_cache\PCOR.csv,TRUE,1257,2021-05-20,2026-05-21,2026-05-21,TRUE,1257,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PCT,D:\us-tech-quant\state\v18\price_cache\PCT.csv,TRUE,1472,2020-07-14,2026-05-21,2026-05-21,TRUE,1472,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PDD,D:\us-tech-quant\state\v18\price_cache\PDD.csv,TRUE,1966,2018-07-26,2026-05-21,2026-05-21,TRUE,1966,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PFGC,D:\us-tech-quant\state\v18\price_cache\PFGC.csv,TRUE,2676,2015-09-30,2026-05-21,2026-05-21,TRUE,2676,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PGNY,D:\us-tech-quant\state\v18\price_cache\PGNY.csv,TRUE,1651,2019-10-25,2026-05-21,2026-05-21,TRUE,1651,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PI,D:\us-tech-quant\state\v18\price_cache\PI.csv,TRUE,2473,2016-07-21,2026-05-21,2026-05-21,TRUE,2473,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PINS,D:\us-tech-quant\state\v18\price_cache\PINS.csv,TRUE,1783,2019-04-18,2026-05-21,2026-05-21,TRUE,1783,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PLUG,D:\us-tech-quant\state\v18\price_cache\PLUG.csv,TRUE,6680,1999-10-29,2026-05-21,2026-05-21,TRUE,6680,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PM,D:\us-tech-quant\state\v18\price_cache\PM.csv,TRUE,4575,2008-03-17,2026-05-21,2026-05-21,TRUE,4575,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PSIX,D:\us-tech-quant\state\v18\price_cache\PSIX.csv,TRUE,3545,2012-04-17,2026-05-21,2026-05-21,TRUE,3545,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
PTGX,D:\us-tech-quant\state\v18\price_cache\PTGX.csv,TRUE,2458,2016-08-11,2026-05-21,2026-05-21,TRUE,2458,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
