ticker,ledger_row_found_before_update,scan_result,ledger_update_attempted,ledger_update_success,previous_last_scan_status,new_last_scan_status,previous_success_scan_count,new_success_scan_count,previous_attempt_scan_count,new_attempt_scan_count,error_message
OKTA,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
OLMA,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
OLPX,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
OPCH,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PATH,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PCOR,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PCT,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PDD,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PFGC,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PGNY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
PI,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,TRUE,TRUE,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,0,1,1,2,
