ticker,last_scan_status,last_success_scan_date,last_attempt_scan_date,reason
AMC,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
APLD,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
BLSH,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
BW,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
BYND,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
CAI,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
CDTX,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
CFLT,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
CHYM,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
COG,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
COGT,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
CRCL,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
CVNA,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
DBVT,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
FCNCA,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
FIGR,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
GEMI,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
HOOD,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
HTZ,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
INSM,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
JBS,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
JFROG,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
KLAR,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
LINE,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
MNTN,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
MPW,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
NVAX,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
PONY,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
RDDT,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
SOLS,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
STUB,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
TICKERS,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
TLN,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
UPST,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
USFD,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
V,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
VECO,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
VEEV,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
VIAV,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
VIST,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
VMC,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WAB,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WDAY,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WHR,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WING,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WLK,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WOLF,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WULF,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WVE,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WWD,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
WYFI,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
XENE,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
XLF,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
XLK,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
XPO,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
XYZ,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
YPF,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
Z,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
ZG,SKIPPED_NO_LOCAL_DATA,,,NEVER_SUCCESS
